Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
ABW;Aruba;SSP4_ABW;0.107;0.124;0.135;0.142;0.147;0.148;0.147;0.14;0.131;0.118;46.872;53.452;59.071;63.777;67.692;70.949;73.672;75.963;77.905;79.565;0.05015304;0.06628048;0.07974585;0.09056334;0.09950724;0.10500452;0.10829784;0.1063482;0.10205555;0.0938867;1.32156456;1.2031574;1.13564957;1.0987585;1.05524503;1.0313636;0.981997425;0.959635894;0.919956827;ABW
AFG;Afghanistan;SSP4_AFG;31.412;41.6;55.153;70.545;87.831;105.685;123.324;140.76;157.181;171.515;22.6;31.33;40.67;49.718;57.842;64.784;70.552;75.285;79.154;82.324;7.099112;13.03328;22.4307251;35.0735631;50.803207;68.4669704;87.0075485;105.971166;124.415049;141.198009;1.83590286;1.72103454;1.56363929;1.44847579;1.34768993;1.27079595;1.2179537;1.17404624;1.13489493;AFG
AGO;Angola;SSP4_AGO;19.082;25.588;33.626;41.752;50.051;57.841;64.645;70.586;75.517;79.222;58.504;66.397;73.662;79.978;85.183;89.279;92.378;94.654;96.288;97.44;11.1637333;16.9896644;24.7695841;33.3924146;42.6349433;51.6398664;59.7177581;66.8124724;72.713809;77.1939168;1.52186226;1.45792074;1.34812173;1.27678528;1.21120992;1.15642743;1.1188041;1.08832687;1.06161289;AGO
ALB;Albania;SSP4_ALB;3.204;3.248;3.225;3.141;3.004;2.824;2.593;2.314;2.019;1.743;51.911;61.34;69.517;76.278;81.695;85.95;89.251;91.793;93.742;95.231;1.66322844;1.9923232;2.24192325;2.39589198;2.4541178;2.427228;2.31427843;2.12409002;1.89265098;1.65987633;1.19786504;1.1252809;1.06867707;1.02430236;0.989042987;0.953465612;0.917819564;0.891040851;0.877011318;ALB
ARE;United Arab Emirates;SSP4_ARE;7.512;10.985;13.14;14.893;16.119;16.738;16.599;15.791;14.634;13.229;84.05;86.561;88.72;90.562;92.125;93.443;94.551;95.479;96.254;96.9;6.313836;9.50872585;11.657808;13.4873987;14.8496288;15.6404893;15.6945205;15.0770889;14.0858104;12.818901;1.50601407;1.22601158;1.15694122;1.10100021;1.05325794;1.00345457;0.960659416;0.934252657;0.910057758;ARE
ARG;Argentina;SSP4_ARG;40.412;43.233;45.018;45.891;45.734;44.649;42.8;40.352;37.593;34.708;92.393;94.084;95.418;96.462;97.275;97.906;98.392;98.768;99.056;99.277;37.3378592;40.6753357;42.9552752;44.2673764;44.4877485;43.7140499;42.111776;39.8548634;37.2381221;34.4570612;1.08938586;1.05605214;1.03054575;1.00497821;0.982608727;0.963346477;0.946406615;0.934343238;0.925316832;ARG
ARM;Armenia;SSP4_ARM;3.092;3.012;2.847;2.647;2.401;2.141;1.896;1.655;1.439;1.263;64.191;72.251;78.011;82.198;85.319;87.705;89.57;91.058;92.266;93.26;1.98478572;2.17620012;2.22097317;2.17578106;2.04850919;1.87776405;1.6982472;1.5070099;1.32770774;1.1778738;1.09644084;1.02057396;0.979652113;0.941505204;0.916649073;0.904398612;0.887391364;0.881021246;0.887148402;ARM
AUS;Australia;SSP4_AUS;22.268;25.807;28.963;31.706;34.087;35.983;37.062;37.22;36.405;34.59;89.108;90.753;92.171;93.387;94.426;95.31;96.059;96.693;97.228;97.679;19.8425694;23.4206267;26.6954867;29.6092822;32.1869906;34.2953973;35.6013866;35.9891346;35.3958534;33.7871661;1.18032228;1.13982803;1.10914937;1.08705744;1.06550493;1.0380806;1.01089137;0.983514991;0.954551532;AUS
AUT;Austria;SSP4_AUT;8.394;8.645;8.784;8.811;8.73;8.501;8.118;7.633;7.054;6.387;67.553;70.922;73.986;76.759;79.257;81.5;83.508;85.304;86.907;88.337;5.67039882;6.1312069;6.49893024;6.76323549;6.9191361;6.928315;6.77917944;6.51125432;6.13041978;5.64208419;1.08126555;1.05997569;1.04066904;1.02305119;1.0013266;0.978474483;0.960478237;0.94151134;0.920342227;AUT
AZE;Azerbaijan;SSP4_AZE;9.188;10.017;10.329;10.376;10.103;9.585;8.904;8.075;7.246;6.457;51.931;60.56;68.069;74.36;79.506;83.656;86.978;89.625;91.732;93.408;4.77142028;6.0662952;7.03084701;7.7155936;8.03249118;8.0184276;7.74452112;7.23721875;6.64690072;6.03135456;1.27138144;1.15900179;1.09739176;1.04107235;0.998249163;0.965840375;0.934495321;0.918433026;0.907393508;AZE
