Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
ABW;Aruba;SSP5_ABW;0.107;0.127;0.143;0.157;0.166;0.17;0.17;0.164;0.152;0.135;44.249;57.671;66.359;73.069;78.201;82.15;85.225;87.652;89.596;91.171;0.04734643;0.07324217;0.09489337;0.11471833;0.12981366;0.139655;0.1448825;0.14374928;0.13618592;0.12308085;1.54694177;1.29561112;1.20891828;1.13158603;1.07581128;1.03743153;0.992178351;0.947385058;0.903770742;ABW
AFG;Afghanistan;SSP5_AFG;31.412;39.247;46.594;52.874;57.179;59.474;60.457;60.347;59.335;57.594;22.6;31.33;40.67;49.718;57.842;64.784;70.552;75.285;79.154;82.324;7.099112;12.2960851;18.9497798;26.2878953;33.0734772;38.5296362;42.6536226;45.432239;46.9660259;47.4136846;1.7320596;1.54112302;1.38724015;1.25812572;1.16497083;1.10703414;1.06514374;1.03375988;1.00953154;AFG
AGO;Angola;SSP5_AGO;19.082;24.635;30.014;34.785;38.646;41.474;43.245;43.903;43.488;42.105;58.504;66.397;73.662;79.978;85.183;89.279;92.378;94.654;96.288;97.44;11.1637333;16.356901;22.1089127;27.8203473;32.9198222;37.0275725;39.9488661;41.5559456;41.8737254;41.027112;1.46518199;1.35165657;1.25833177;1.18330019;1.12478045;1.07889509;1.04022841;1.00764704;0.97978175;AGO
ALB;Albania;SSP5_ALB;3.204;3.216;3.148;3.053;2.935;2.78;2.58;2.334;2.028;1.701;51.911;61.34;69.517;76.278;81.695;85.95;89.251;91.793;93.742;95.231;1.66322844;1.9726944;2.18839516;2.32876734;2.39774825;2.38941;2.3026758;2.14244862;1.90108776;1.61987931;1.18606341;1.10934322;1.06414389;1.02962121;0.996522466;0.963700579;0.930416961;0.887343455;0.852080237;ALB
ARE;United Arab Emirates;SSP5_ARE;7.512;11.538;14.458;16.95;18.642;19.497;19.477;18.581;17.144;15.227;84.05;86.561;88.72;90.562;92.125;93.443;94.551;95.479;96.254;96.9;6.313836;9.98740818;12.8271376;15.350259;17.1739425;18.2185817;18.4156983;17.740953;16.5017858;14.754963;1.58182889;1.28433097;1.19670183;1.11880474;1.06082699;1.01081953;0.963360321;0.930152161;0.894143411;ARE
ARG;Argentina;SSP5_ARG;40.412;42.93;44.252;44.756;44.322;43.103;41.318;39.014;35.961;32.414;92.393;94.084;95.418;96.462;97.275;97.906;98.392;98.768;99.056;99.277;37.3378592;40.3902612;42.2243734;43.1725327;43.1142255;42.2004232;40.6536066;38.5333475;35.6215282;32.1796468;1.08175086;1.04540976;1.02245526;0.998649437;0.978805086;0.963345945;0.947845733;0.924433781;0.903376369;ARG
ARM;Armenia;SSP5_ARM;3.092;2.973;2.744;2.495;2.213;1.924;1.668;1.437;1.229;1.045;64.191;72.251;78.011;82.198;85.319;87.705;89.57;91.058;92.266;93.26;1.98478572;2.14802223;2.14062184;2.0508401;1.88810947;1.6874442;1.4940276;1.30850346;1.13394914;0.974567;1.0822439;0.996554789;0.958058103;0.920651722;0.893721591;0.885378965;0.875822816;0.866600032;0.859445072;ARM
AUS;Australia;SSP5_AUS;22.268;26.845;32.34;38.025;44.222;50.657;56.427;61.201;64.492;66.449;89.108;90.753;92.171;93.387;94.426;95.31;96.059;96.693;97.228;97.679;19.8425694;24.3626428;29.8081014;35.5104068;41.7570657;48.2811867;54.2032119;59.1770829;62.7042818;64.9067187;1.22779678;1.22351674;1.19130052;1.17591066;1.15623993;1.12265699;1.0917634;1.05960413;1.03512419;AUS
AUT;Austria;SSP5_AUT;8.394;8.869;9.497;10.136;10.836;11.535;12.034;12.343;12.439;12.354;67.553;73.666;78.54;82.419;85.516;88.004;90.017;91.656;93.001;94.11;5.67039882;6.53343754;7.4589438;8.35398984;9.26651376;10.1512614;10.8326458;11.3131001;11.5683944;11.6263494;1.15220071;1.14165686;1.11999635;1.10923211;1.09547794;1.06712312;1.04435244;1.02256626;1.00500977;AUT
AZE;Azerbaijan;SSP5_AZE;9.188;10.051;10.459;10.655;10.548;10.196;9.684;8.966;8.134;7.332;51.931;60.56;68.069;74.36;79.506;83.656;86.978;89.625;91.732;93.408;4.77142028;6.0868856;7.11933671;7.923058;8.38629288;8.52956576;8.42294952;8.0357775;7.46148088;6.84867456;1.2756968;1.16961894;1.11289272;1.05846668;1.01708417;0.987500391;0.954033677;0.928532538;0.917870684;AZE
BDI;Burundi;SSP5_BDI;8.382;10.903;13.213;15.185;16.822;17.91;18.386;18.282;17.69;16.738;10.999;17.027;25.117;34.941;45.631;56.107;65.511;73.416;79.772;84.734;0.92193618;1.85645381;3.31870921;5.30579085;7.67604682;10.0487637;12.0448525;13.4219131;14.1116668;14.1827769;2.01364677;1.78766053;1.59875136;1.44673;1.30910662;1.19864023;1.11432773;1.05139012;1.0050391;BDI
