Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
ABW;Aruba;SSP1_ABW;0.107;0.124;0.135;0.143;0.148;0.149;0.146;0.14;0.129;0.114;44.249;57.671;66.359;73.069;78.201;82.15;85.225;87.652;89.596;91.171;0.04734643;0.07151204;0.08958465;0.10448867;0.11573748;0.1224035;0.1244285;0.1227128;0.11557884;0.10393494;1.51039983;1.25272122;1.16636801;1.10765579;1.05759604;1.01654364;0.986211358;0.941864581;0.899255781;ABW
AFG;Afghanistan;SSP1_AFG;31.412;39.535;47.674;55.001;60.68;64.557;66.94;67.824;67.261;65.377;22.6;31.33;40.67;49.718;57.842;64.784;70.552;75.285;79.154;82.324;7.099112;12.3863155;19.3890158;27.3453972;35.0985256;41.8226069;47.2275088;51.0612984;53.2397719;53.8209615;1.7447697;1.56535782;1.41035509;1.2835259;1.19157731;1.12923398;1.08117704;1.04266389;1.01091645;AFG
AGO;Angola;SSP1_AGO;19.082;24.583;29.851;34.507;38.247;40.97;42.671;43.296;42.885;41.536;58.504;66.397;73.662;79.978;85.183;89.279;92.378;94.654;96.288;97.44;11.1637333;16.3223745;21.9888436;27.5980085;32.579942;36.5776063;39.4186164;40.9813958;41.2931088;40.4726784;1.46208926;1.34715961;1.2550914;1.18051786;1.12270324;1.07767075;1.03964572;1.00760621;0.980131542;AGO
ALB;Albania;SSP1_ALB;3.204;3.245;3.226;3.161;3.052;2.899;2.703;2.459;2.148;1.81;51.911;61.34;69.517;76.278;81.695;85.95;89.251;91.793;93.742;95.231;1.66322844;1.990483;2.24261842;2.41114758;2.4933314;2.4916905;2.41245453;2.25718987;2.01357816;1.7236811;1.19675864;1.12667047;1.07514839;1.03408494;0.999341885;0.968199915;0.935640379;0.892073009;0.856028901;ALB
ARE;United Arab Emirates;SSP1_ARE;7.512;10.949;13.059;14.798;15.935;16.389;16.113;15.162;13.844;12.242;84.05;86.561;88.72;90.562;92.125;93.443;94.551;95.479;96.254;96.9;6.313836;9.47756389;11.5859448;13.4013648;14.6801188;15.3143733;15.2350026;14.476526;13.3254038;11.862498;1.50107857;1.22246022;1.15669158;1.09541968;1.043205;0.994817245;0.950214866;0.920483532;0.890216778;ARE
ARG;Argentina;SSP1_ARG;40.412;43.044;44.611;45.367;45.173;44.177;42.562;40.356;37.319;33.709;92.393;94.084;95.418;96.462;97.275;97.906;98.392;98.768;99.056;99.277;37.3378592;40.497517;42.566924;43.7619155;43.9420358;43.2519336;41.877603;39.8588141;36.9667086;33.4652839;1.08462343;1.0510996;1.02807324;1.00411591;0.984295172;0.968224991;0.951793111;0.927441257;0.905281675;ARG
ARM;Armenia;SSP1_ARM;3.092;3.016;2.863;2.684;2.46;2.218;1.993;1.771;1.555;1.348;64.191;72.251;78.011;82.198;85.319;87.705;89.57;91.058;92.266;93.26;1.98478572;2.17909016;2.23345493;2.20619432;2.0988474;1.9452969;1.7851301;1.61263718;1.4347363;1.2571448;1.09789694;1.02494838;0.987794421;0.951342944;0.92684056;0.917664599;0.903372354;0.889683258;0.876220111;ARM
AUS;Australia;SSP1_AUS;22.268;26.044;29.722;33.215;36.592;39.637;41.83;42.94;42.699;41.441;89.108;90.753;92.171;93.387;94.426;95.31;96.059;96.693;97.228;97.679;19.8425694;23.6357113;27.3950646;31.0184921;34.5523619;37.7780247;40.1814797;41.5199742;41.5153837;40.4791544;1.19116183;1.15905395;1.1322657;1.11392784;1.09335578;1.06362045;1.03331123;0.999889439;0.975039871;AUS
AUT;Austria;SSP1_AUT;8.394;8.734;9.057;9.323;9.542;9.656;9.558;9.278;8.805;8.21;67.553;73.666;78.54;82.419;85.516;88.004;90.017;91.656;93.001;94.11;5.67039882;6.43398844;7.1133678;7.68392337;8.15993672;8.49766624;8.60382486;8.50384368;8.18873805;7.726431;1.13466242;1.10559226;1.08020892;1.06194926;1.04138874;1.01249268;0.98837945;0.962945505;0.943543554;AUT
AZE;Azerbaijan;SSP1_AZE;9.188;10.023;10.368;10.495;10.328;9.925;9.381;8.657;7.837;7.06;51.931;60.56;68.069;74.36;79.506;83.656;86.978;89.625;91.732;93.408;4.77142028;6.0699288;7.05739392;7.804082;8.21137968;8.302858;8.15940618;7.75883625;7.18903684;6.5946048;1.27214298;1.1626815;1.10580224;1.05219034;1.01114043;0.982722597;0.950906975;0.926561228;0.917314092;AZE
