Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
ABW;Aruba;SSP2_ABW;0.107;0.125;0.138;0.148;0.156;0.162;0.165;0.164;0.159;0.151;46.872;53.452;59.071;63.777;67.692;70.949;73.672;75.963;77.905;79.565;0.05015304;0.066815;0.08151798;0.09438996;0.10559952;0.11493738;0.1215588;0.12457932;0.12386895;0.12014315;1.33222233;1.22005508;1.15790357;1.11875797;1.08842711;1.05760893;1.02484822;0.99429785;0.969921437;ABW
AFG;Afghanistan;SSP2_AFG;31.412;40.602;51.689;63.599;75.162;85.822;95.121;102.899;108.98;113.086;22.6;27.575;32.821;38.137;43.34;48.284;52.878;57.073;60.859;64.251;7.099112;11.1960015;16.9648467;24.2547506;32.5752108;41.4382945;50.2980824;58.7275463;66.3241382;72.6588859;1.57709887;1.51525942;1.42970644;1.34304456;1.27208062;1.21380677;1.16759016;1.12935313;1.09551195;AFG
AGO;Angola;SSP2_AGO;19.082;25.239;31.855;38.164;43.976;48.856;52.598;55.142;56.598;56.892;58.504;65.455;70.408;74;76.669;78.702;80.284;81.538;82.549;83.375;11.1637333;16.5201874;22.4284684;28.24136;33.7159594;38.4506491;42.2277783;44.961684;46.721083;47.433705;1.4798085;1.35764007;1.2591747;1.19385042;1.14042874;1.09823317;1.06474188;1.03913108;1.01525269;AGO
ALB;Albania;SSP2_ALB;3.204;3.271;3.301;3.274;3.201;3.095;2.942;2.741;2.524;2.319;51.911;59.57;65.194;69.327;72.41;74.753;76.569;78;79.145;80.072;1.66322844;1.9485347;2.15205394;2.26976598;2.3178441;2.31360535;2.25265998;2.13798;1.9976198;1.85686968;1.17153763;1.10444733;1.05469753;1.02118197;0.998171253;0.973657837;0.949091305;0.934349152;0.929541087;ALB
ARE;United Arab Emirates;SSP2_ARE;7.512;11.043;13.359;15.357;16.915;17.963;18.299;17.97;17.282;16.327;84.05;86.561;88.72;90.562;92.125;93.443;94.551;95.479;96.254;96.9;6.313836;9.55893123;11.8521048;13.9076063;15.5829438;16.7851661;17.3018875;17.1575763;16.6346163;15.820863;1.51396571;1.23989853;1.17342924;1.12046195;1.07714989;1.03078441;0.991659223;0.969520169;0.95108073;ARE
ARG;Argentina;SSP2_ARG;40.412;43.57;46.155;48.142;49.377;49.834;49.664;48.902;47.83;46.575;92.393;94.084;95.418;96.462;97.275;97.906;98.392;98.768;99.056;99.277;37.3378592;40.9923988;44.0401779;46.438736;48.0314768;48.790476;48.8654029;48.2995274;47.3784848;46.2382628;1.09787759;1.07434986;1.05446295;1.03429768;1.01580212;1.00153569;0.98841971;0.980930609;0.975933759;ARG
ARM;Armenia;SSP2_ARM;3.092;3.038;2.922;2.78;2.594;2.392;2.206;2.028;1.876;1.768;64.191;68.897;72.937;76.391;79.343;81.869;84.036;85.903;87.516;88.916;1.98478572;2.09309086;2.13121914;2.1236698;2.05815742;1.95830648;1.85383416;1.74211284;1.64180016;1.57203488;1.05456767;1.01821626;0.996457736;0.969151334;0.951485276;0.946651701;0.939734998;0.942418954;0.957506838;ARM
AUS;Australia;SSP2_AUS;22.268;25.987;29.562;32.858;36.033;38.929;41.124;42.531;43.055;42.577;89.108;90.753;92.171;93.387;94.426;95.31;96.059;96.693;97.228;97.679;19.8425694;23.5839821;27.247591;30.6851005;34.0245206;37.1032299;39.5033032;41.1244998;41.8615154;41.5887878;1.18855485;1.1553431;1.12615829;1.10882872;1.09048502;1.06468637;1.04103952;1.01792157;0.993485005;AUS
AUT;Austria;SSP2_AUT;8.394;8.696;8.946;9.11;9.214;9.214;9.077;8.858;8.555;8.148;67.553;70.922;73.986;76.759;79.257;81.5;83.508;85.304;86.907;88.337;5.67039882;6.16737712;6.61878756;6.9927449;7.30273998;7.50941;7.58002116;7.55622832;7.43489385;7.19769876;1.08764433;1.07319326;1.05649937;1.04433096;1.02830034;1.00940302;0.996861112;0.983942456;0.968097044;AUT
AZE;Azerbaijan;SSP2_AZE;9.188;10.132;10.628;10.93;10.993;10.84;10.57;10.153;9.713;9.292;51.931;58.664;63.784;67.67;70.651;72.968;74.797;76.26;77.446;78.417;4.77142028;5.94383648;6.77896352;7.396331;7.76666443;7.9097312;7.9060429;7.7426778;7.52232998;7.28650764;1.2457164;1.14050303;1.09107107;1.05006988;1.01842062;0.999533701;0.979336679;0.971541135;0.96865036;AZE
BDI;Burundi;SSP2_BDI;8.382;10.892;13.086;15.056;16.81;18.126;18.938;19.324;19.289;18.918;10.999;14.877;19.507;24.721;30.253;35.806;41.124;46.032;50.441;54.333;0.92193618;1.62040284;2.55268602;3.72199376;5.0855293;6.49019556;7.78806312;8.89522368;9.72956449;10.2787169;1.75760847;1.57534038;1.45806955;1.36634547;1.27620847;1.19997357;1.14216122;1.0937965;1.05644163;BDI
BEL;Belgium;SSP2_BEL;10.712;11.27;11.775;12.222;12.596;12.885;13.069;13.156;13.123;12.924;97.411;97.677;97.917;98.132;98.325;98.499;98.655;98.795;98.92;99.033;10.4346663;11.0081979;11.5297268;11.993693;12.385017;12.6915961;12.893222;12.9974702;12.9812716;12.7990249;1.05496406;1.04737641;1.04024087;1.03262748;1.02475404;1.01588656;1.00808551;0.998753711;0.985960799;BEL
BEN;Benin;SSP2_BEN;8.85;11.514;14.254;16.85;19.214;21.15;22.67;23.736;24.272;24.385;42.044;48.463;54.156;59.077;63.272;66.829;69.843;72.406;74.596;76.478;3.720894;5.58002982;7.71939624;9.9544745;12.1570821;14.1343335;15.8334081;17.1862882;18.1059411;18.6491603;1.49964762;1.38339695;1.28954055;1.22126809;1.16264194;1.12020904;1.08544465;1.05351085;1.03000226;BEN
BFA;Burkina Faso;SSP2_BFA;16.469;21.567;27.291;33.135;38.602;43.42;47.468;50.807;53.431;55.325;25.689;33.103;40.442;47.212;53.157;58.226;62.482;66.036;69.007;71.5;4.23072141;7.13932401;11.0370262;15.6436962;20.5196651;25.2817292;29.6589558;33.5509105;36.8711302;39.557375;1.68749566;1.54594836;1.41738326;1.31168906;1.23207319;1.17313794;1.13122359;1.09896064;1.07285496;BFA
BGD;Bangladesh;SSP2_BGD;148.692;166.226;181.146;191.092;195.777;195.149;190.649;183.858;175.754;167.49;28.067;34.27;40.447;46.321;51.711;56.534;60.782;64.489;67.711;70.509;41.7333836;56.9656502;73.2681226;88.5157253;101.238244;110.325536;115.880275;118.568186;119.004791;118.095524;1.36498997;1.28618075;1.20810691;1.14373174;1.08976145;1.05034863;1.02319558;1.00368231;0.99235941;BGD
BGR;Bulgaria;SSP2_BGR;7.494;7.068;6.754;6.51;6.308;6.121;5.891;5.623;5.347;5.062;71.458;75.238;78.355;80.943;83.11;84.941;86.499;87.838;88.995;90.004;5.35506252;5.31782184;5.2920967;5.2693893;5.2425788;5.19923861;5.09565609;4.93913074;4.75856265;4.55600248;0.993045706;0.995162467;0.995709186;0.994912029;0.99173304;0.980077368;0.969282591;0.963441322;0.957432489;BGR
BHR;Bahrain;SSP2_BHR;1.262;1.883;2.349;2.796;3.207;3.53;3.751;3.873;3.9;3.848;88.614;91.709;93.579;94.824;95.71;96.37;96.881;97.287;97.616;97.889;1.11830868;1.72688047;2.19817071;2.65127904;3.0694197;3.401861;3.63400631;3.76792551;3.807024;3.76676872;1.54418945;1.27291422;1.20612973;1.15771281;1.10830754;1.06824068;1.03685167;1.01037666;0.98942605;BHR
BHS;Bahamas;SSP2_BHS;0.343;0.387;0.426;0.456;0.478;0.493;0.497;0.491;0.479;0.462;84.099;88.311;90.695;92.218;93.271;94.04;94.625;95.085;95.455;95.759;0.28845957;0.34176357;0.3863607;0.42051408;0.44583538;0.4636172;0.47028625;0.46686735;0.45722945;0.44240658;1.18478846;1.13049118;1.08839766;1.06021511;1.03988427;1.01438482;0.992730172;0.979356235;0.967581113;BHS
BIH;Bosnia and Herzegovina;SSP2_BIH;3.76;3.718;3.633;3.492;3.301;3.087;2.852;2.608;2.385;2.194;48.621;54.59;59.822;64.335;68.196;71.491;74.309;76.726;78.811;80.618;1.8281496;2.0296562;2.17333326;2.2465782;2.25114996;2.20692717;2.11929268;2.00101408;1.87964235;1.76875892;1.11022435;1.07078887;1.03370166;1.00203499;0.980355467;0.960291173;0.944189587;0.93934489;0.94100823;BIH
