Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
MNG;Mongolia;SSP3_MNG;2.756;3.202;3.583;3.918;4.263;4.533;4.774;5.036;5.274;5.489;62.026;64.317;65.943;67.112;67.96;68.581;69.039;69.378;69.629;69.817;1.70943656;2.05943034;2.36273769;2.62944816;2.8971348;3.10877673;3.29592186;3.49387608;3.67223346;3.83225513;1.20474219;1.1472773;1.11288196;1.10180335;1.07305215;1.06019896;1.06006035;1.05104857;1.04357612;MNG
MOZ;Mozambique;SSP3_MOZ;23.391;28.973;35.199;41.194;46.765;52.006;56.515;60.527;64.126;67.369;38.434;41.735;44.546;46.909;48.879;50.514;51.868;52.987;53.912;54.677;8.99009694;12.0918816;15.6797465;19.3236935;22.8582643;26.2703108;29.3132002;32.0714415;34.5716091;36.8353481;1.34502238;1.29671685;1.23239833;1.18291384;1.14926971;1.11582997;1.09409554;1.0779562;1.06547971;MOZ
MRT;Mauritania;SSP3_MRT;3.46;4.327;5.277;6.206;7.084;7.921;8.694;9.429;10.131;10.815;41.434;41.732;42.114;42.605;43.238;44.054;45.107;46.468;48.229;50.506;1.4336164;1.80574364;2.22235578;2.6440663;3.06297992;3.48951734;3.92160258;4.38146772;4.88607999;5.4622239;1.25957239;1.230715;1.18975833;1.15843537;1.1392557;1.12382378;1.1172646;1.11516969;1.11791537;MRT
MTQ;Martinique;SSP3_MTQ;0.406;0.424;0.444;0.46;0.474;0.49;0.514;0.542;0.574;0.611;89.046;92.469;94.309;95.456;96.238;96.806;97.236;97.573;97.844;98.067;0.36152676;0.39206856;0.41873196;0.4390976;0.45616812;0.4743494;0.49979304;0.52884566;0.56162456;0.59918937;1.08448005;1.06800698;1.04863646;1.03887637;1.03985653;1.05363903;1.0581293;1.06198198;1.06688598;MTQ
MUS;Mauritius;SSP3_MUS;1.299;1.375;1.45;1.501;1.536;1.57;1.61;1.657;1.72;1.8;41.837;42.005;42.211;42.464;42.776;43.161;43.634;44.219;44.941;45.834;0.54346263;0.57756875;0.6120595;0.63738464;0.65703936;0.6776277;0.7025074;0.73270883;0.7729852;0.825012;1.06275707;1.05971713;1.04137692;1.03083651;1.03133502;1.03671588;1.04299091;1.05496913;1.06730633;MUS
MWI;Malawi;SSP3_MWI;14.901;20.359;27.732;37.019;48.037;59.906;72.105;84.345;96.278;107.779;19.769;21.816;23.866;25.892;27.87;29.778;31.6;33.325;34.946;36.46;2.94577869;4.44151944;6.61851912;9.58495948;13.3879119;17.8388087;22.78518;28.1079713;33.6453099;39.2962234;1.50775734;1.49014751;1.44820304;1.39676249;1.33245638;1.27728148;1.2336076;1.19700243;1.16795546;MWI
MYS;Malaysia;SSP3_MYS;28.401;33.326;38.52;43.252;47.588;51.834;55.704;59.203;62.536;65.712;72.171;73.798;75.129;76.227;77.141;77.908;78.556;79.107;79.577;79.981;20.4972857;24.5939215;28.9396908;32.969702;36.7098591;40.3828327;43.7588342;46.8337172;49.7642727;52.5571147;1.19986235;1.17670095;1.1392555;1.11344225;1.10005415;1.08359992;1.07026885;1.06257363;1.05612143;MYS
MYT;Mayotte;SSP3_MYT;0.204;0.267;0.343;0.428;0.514;0.599;0.684;0.766;0.846;0.922;50.075;51.93;53.798;55.671;57.546;59.416;61.275;63.118;64.939;66.732;0.102153;0.1386531;0.18452714;0.23827188;0.29578644;0.35590184;0.419121;0.48348388;0.54938394;0.61526904;1.35730816;1.33085477;1.29125656;1.24138207;1.2032392;1.17763089;1.15356634;1.1363025;1.11992542;MYT
NAM;Namibia;SSP3_NAM;2.283;2.658;3.02;3.324;3.586;3.819;4.01;4.174;4.323;4.471;37.977;39.845;41.594;43.224;44.737;46.137;47.429;48.619;49.713;50.719;0.86701491;1.0590801;1.2561388;1.43676576;1.60426882;1.76197203;1.9019029;2.02935706;2.14909299;2.26764649;1.22152467;1.18606591;1.14379538;1.11658342;1.09830223;1.07941719;1.06701402;1.0590019;1.05516443;NAM
NCL;New Caledonia;SSP3_NCL;0.251;0.289;0.323;0.354;0.384;0.415;0.444;0.472;0.499;0.525;57.358;60.256;62.278;63.702;64.715;65.441;65.965;66.344;66.62;66.822;0.14396858;0.17413984;0.20115794;0.22550508;0.2485056;0.27158015;0.2928846;0.31314368;0.3324338;0.3508155;1.20956837;1.15515174;1.12103494;1.10199557;1.09285324;1.07844627;1.06917086;1.0616015;1.05529432;NCL
