GEOMETRY,Label
"LINESTRING (120156.796875 411021.90625,120487.3984375 413886.6875,120584.203125 414204.6875)","A27;E311"
"LINESTRING (119679.5 410928.59375,120156.796875 411021.90625)",A59
"LINESTRING (120123.296875 410639.90625,120146.1015625 410899.5,120156.796875 411021.90625)","A27;E311"
