EK;label
190;Agr. N13.01 Vochtig weidevogelgrasland
191;Multi N14.01 Rivier- en beekbegeleidend bos
192;Multi N14.02 Hoog- en laagveenbos
193;Multi N14.03 Haagbeuken- en essenbos
197;Sted. N17.03 Park- en stinzenbos
200;Wonen - inbreiding - 1g vrij
201;Wonen - inbreiding - 1g sociaal
202;Wonen - inbreiding - mg vrij
203;Wonen - inbreiding - mg sociaal
204;Nijverheid - inbreiding
205;Logistiek - inbreiding
206;Detailhandel - inbreiding
207;OV consumentendiensten - inbreiding
208;Zakelijke dienstverlening - inbreiding
209;Overheid kw-diensten - inbreiding
210;Wonen - nieuw - 1g vrij
211;Wonen - nieuw - 1g sociaal
212;Wonen - nieuw - mg vrij
213;Wonen - nieuw - mg sociaal
214;Nijverheid - nieuw
215;Logistiek - nieuw
216;Detailhandel - nieuw
217;OV consumentendiensten - nieuw
218;Zakelijke dienstverlening - nieuw
219;Overheid kw-diensten - nieuw
220;Verblijfsrecreatie nieuw
223;Zonnepaneel - water
241;Zonnepaneel - land
225;zonnepaneel_Akkerrand N12.02 Kruiden- en faunarijk grasland
226;zonnepaneel_welBA_plaaggevoellig overige gewassen (courgette_pompoen)
227;zonnepaneel_nietBA_plaaggevoellig wintertarwe
228;zonnepaneel_nietBA_plaaggevoellig suikerbieten
229;zonnepaneel_welBA_plaaggevoellig sperziebonen
230;zonnepaneel_welBA_plaaggevoellig zomergerst
231;zonnepaneel_nietBA_plaaggevoellig consumptieaardappelen
232;zonnepaneel_nietBA_plaaggevoellig zaaiuien
233;zonnepaneel_nietBA_plaaggevoellig bloemkool
234;zonnepaneel_nietBA_plaaggevoellig spruitkool
235;zonnepaneel_welBA_plaaggevoellig overige gewassen (luzerne_soja)
236;zonnepaneel_nietBA_plaaggevoellig sla
237;zonnepaneel_nietBA_plaaggevoellig winterpeen
238;zonnepaneel_welBA_plaaggevoellig sperziebonen (veldbonen)
239;zonnepaneel_nietBA_plaaggevoellig prei
240;zonnepaneel_N12.02 Kruiden- en faunarijk grasland
