id,GL_newval,Uitleg_NVK,LHM_2_org,LHM_2_name_org,LHM_name_edit,LHM_name_edit_RP,Opmerking
28,28,N08.02.07 Droog duingrasland kalkrijk,14,duinvegetatie,duinvegetatie,duinvegetatie,
29,29,N08.02.08 Droog duingrasland kalkarm,14,duinvegetatie,duinvegetatie,duinvegetatie,
30,30,N08.02.11 Duinstruweel,14,duinvegetatie,duinvegetatie,duinvegetatie,
31,31,N08.02.15 Duingrasland,14,duinvegetatie,duinvegetatie,duinvegetatie,
32,32,N08.03 Vochtige duinvallei,14,duinvegetatie,duinvegetatie,duinvegetatie,
33,33,N08.04 Duinheide,14,duinvegetatie,duinvegetatie,duinvegetatie,
34,34,N09.01 Schor of kwelder,13,moeras,moeras,moeras,RP: discussie over mogelijk. Je zou het ook tot duinvegetatie kunnen rekenen
35,35,N10.01 Nat schraalland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
36,36,N10.02 Vochtig hooiland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
37,37,N11.01 Droog schraalgrasland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
38,38,N12.01 Bloemdijk,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
39,39,N12.02 Kruiden- en faunarijk grasland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
40,40,N12.03 Glanshaverhooiland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
41,41,N12.04 Zilt- en overstromingsgrasland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
42,42,N12.05 Kruiden- of faunarijke akker,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,RP: is natuurlijk geen grasland. Hier komen in HDB fikse arealen van bij (voor hamster en grauwe kiekendief). Ben je daar bewust van
43,43,N12.06 Ruigteveld,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
44,44,N13.01 Vochtig weidevogelgrasland,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
45,45,N13.02 Wintergastenweide,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
46,46,N14.01 Rivier- en beekbegeleidend bos,11,loofbos,loofbos,loofbos,
47,47,N14.02 Hoog- en laagveenbos,11,loofbos,loofbos,loofbos,
48,48,N14.03 Haagbeuken- en essenbos,11,loofbos,loofbos,loofbos,
49,49,N15.01.01 Duinbos -- gemengd bos,11,loofbos,loofbos,loofbos,
50,50,N15.01.02 Duinbos -- loofbos,11,loofbos,loofbos,loofbos,
51,51,N15.01.03 Duinbos -- naaldbos,12,naaldbos,naaldbos,naaldbos,"licht naaldbos is de default waarde hier, dit wordt later verbijzonderd naar licht en donker naaldbos"
52,52,N15.01 Duinbos,12,naaldbos,naaldbos,naaldbos,
53,53,"N15.02.01 Dennen-, eiken-, en beukenbos - gemengd bos",11,loofbos,loofbos,loofbos,
54,54,"N15.02.02 Dennen-, eiken-, en beukenbos - loofbos",11,loofbos,loofbos,loofbos,
55,55,"N15.02.03 Dennen-, eiken-, en beukenbos - naaldbos",12,naaldbos,naaldbos,naaldbos,
56,56,"N15.02 Dennen-, eiken-, en beukenbos",11,loofbos,loofbos,loofbos,
57,57,N16.01.01 Droog bos met productie (vervallen) -- gemengd bos,,,loofbos,loofbos,deze klasse miste; RP: klopt dit is een relict van oudere data
58,58,N16.01.02 Droog bos met productie (vervallen) -- loofbos,,,loofbos,loofbos,deze klasse miste
59,59,N16.01.03 Droog bos met productie (vervallen) -- naaldbos,,,naaldbos,naaldbos,deze klasse miste
60,60,N16.01 Droog bos met productie (vervallen),,,loofbos,loofbos,deze klasse miste
61,61,N16.02 Vochtig bos met productie (vervallen),,,loofbos,loofbos,deze klasse miste
62,62,N16.03.01 Droog bos met productie -- gemengd bos,11,loofbos,loofbos,loofbos,
63,63,N16.03.02 Droog bos met productie -- loofbos,11,loofbos,loofbos,loofbos,
64,64,N16.03.03 Droog bos met productie -- naaldbos,12,naaldbos,naaldbos,naaldbos,
65,65,N16.03 Droog bos met productie,11,loofbos,loofbos,naaldbos,"RP: ik  vermoedt dat droog bos met productie over het algemeen naaldbos is, dus hier ook naaldbos (zoals bij duinbos)"
66,66,N16.04.01 Vochtig bos met productie -- gemengd bos,11,loofbos,loofbos,loofbos,
67,67,N16.04.02 Vochtig bos met productie -- loofbos,11,loofbos,loofbos,loofbos,
68,68,N16.04.03 Vochtig bos met productie -- naaldbos,12,naaldbos,naaldbos,naaldbos,
69,69,N16.04 Vochtig bos met productie,11,loofbos,loofbos,loofbos,
70,70,N17.01 Vochtig hakhout en middenbos (vervallen),11,loofbos,loofbos,loofbos,
71,71,N17.02 Droog hakhout,11,loofbos,loofbos,loofbos,
72,72,N17.03 Park- of stinzenbos,11,loofbos,loofbos,loofbos,
73,73,N17.04 Eendenkooi,13,moeras,moeras,moeras,
74,74,N17.05 Wilgengriend,13,moeras,moeras,moeras,
75,75,N17.06 Vochtig en hellinghakhout,11,loofbos,loofbos,loofbos,
76,76,Bomenrij waterloop en infrastructuur in buitengebied,16,water,water,water,
77,77,Infrastructuur en waterloop in buitengebied,16,water,water,water,
78,78,Bomenrij en infrastructuur in buitengebied,11,loofbos,loofbos,loofbos,
79,80,Waterloop lijnvormig in de stad,16,water,water,water,
80,81,Waterloop lijnvormig in buitengebied,,,water,water,deze klasse miste
81,82,Bomenrij in de stad,11,loofbos,loofbos,loofbos,
82,83,Bomenrij  in buitengebied,,,loofbos,loofbos,deze klasse miste
83,84,"heg, haag in buitengebied",18,stedelijk grasland,overig_gras,loofbos,RP: is houtig
84,85,"heg, haag in de stad",18,stedelijk grasland,overig_gras,loofbos,RP: is houtig
85,86,agrarische bosjes en heggen,,,overig_gras,loofbos,deze klasse miste; RP: is houtig
86,87,botanisch grasland en randen basis,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
87,88,botanisch grasland en randen plus,17,natuurlijk gras,natuurlijk_gras,natuurlijk_gras,
88,89,welBA_plaaggevoellig appel_peer_fruit,9,boomgaard,boomgaard,boomgaard,
89,90,welBA_plaaggevoellig Rubus-bessen,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
90,91,welBA_plaaggevoellig overige gewassen (luzerne_soja),6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
91,92,welBA_plaaggevoellig overige gewassen (aardbei_koolzaad),6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
92,93,welBA_plaaggevoellig overige gewassen (raapzaad_komkommer),6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
93,94,welBA_plaaggevoellig overige gewassen (courgette_pompoen),6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
94,95,welBA_plaaggevoellig sperziebonen,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
95,96,welBA_plaaggevoellig sperziebonen (veldbonen),6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
96,97,welBA_plaaggevoellig zomergerst,5,granen,granen,granen,
97,98,nietBA_plaagongevoellig gras (beweiding) weidevogelbeheer,1,gras,grondgebonden_veeteelt,grondgebonden_veeteelt,hernoemde klasse
