"Region";"CountryName";"ISO1";"1990";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"AFG";"Afghanistan";4;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855;11844.68855
"ALB";"Albania";8;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742;6916.564742
"DZA";"Algeria";12;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347;7725.388347
"ASM";"American Samoa";16;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588;1373.702588
"AND";"Andorra";20;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308;1360.707308
"AGO";"Angola";24;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463;10516.43463
"ATG";"Antigua and Barbuda";28;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937;9192.080937
"AZE";"Azerbaijan";31;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251;4555.641251
"ARG";"Argentina";32;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056;4780.605056
"AUS";"Australia";36;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221;2087.512221
"AUT";"Austria";40;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267;4781.541267
"BHS";"Bahamas";44;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848;2437.034848
"BHR";"Bahrain";48;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673;12064.74673
"BGD";"Bangladesh";50;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268;26318.34268
"ARM";"Armenia";51;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618;9660.520618
"BRB";"Barbados";52;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192;2135.373192
"BEL";"Belgium";56;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451;3684.761451
"BMU";"Bermuda";60;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345;2059.720345
"BTN";"Bhutan";64;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374;7052.699374
"BOL";"Bolivia";68;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051;7700.328051
"BIH";"Bosnia and Herzegovina";70;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685;5501.747685
"BWA";"Botswana";72;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065;1265.849065
"BRA";"Brazil";76;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611;6531.17611
"BLZ";"Belize";84;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596;9204.746596
"IOT";"British Indian Ocean Territory";86;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696;282.0960696
"SLB";"Solomon Islands";90;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277;3549.146277
"VGB";"British Virgin Islands";92;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879;284.6287879
"BRN";"Brunei Darussalam";96;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868;1679.063868
"BGR";"Bulgaria";100;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562;6851.920562
"MMR";"Myanmar";104;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771;9924.080771
"BDI";"Burundi";108;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805;4659.047805
"BLR";"Belarus";112;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271;6006.395271
"KHM";"Cambodia";116;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641;2495.421641
"CMR";"Cameroon";120;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257;11367.84257
"CAN";"Canada";124;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849;7205.104849
"CPV";"Cape Verde";132;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163;3954.322163
"CYM";"Cayman Islands";136;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551;3899.016551
"CAF";"Central African Republic";140;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559;5490.14559
"LKA";"Sri Lanka";144;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737;6950.620737
