stations_code, stations_naam,,,   
bnk     ,Bunnik                         ,12032  ,12395  ,0
bnn     ,Barneveld Noord                ,12032  ,12395  ,0
bnz     ,Barneveld Zuid                 ,12032  ,12395  ,0
bonn    ,Bonn Hbf                       ,12032  ,12395  ,0
bonnb   ,Bonn-Beuel (OUD)               ,12032  ,9113  ,0
bourg   ,Bourg-St-Maurice               ,12032  ,12395  ,0
bp      ,Buitenpost                     ,12032  ,12395  ,0
bpaf    ,Berlin Südkreuz                ,12032  ,12395  ,0
br      ,Blerick                        ,12032  ,12395  ,0
brauns  ,Braunschweig Hbf               ,12032  ,12395  ,0
brd     ,Barendrecht                    ,12032  ,12395  ,0
bremen  ,Bremen Hbf                     ,12032  ,12395  ,0
bressx  ,Bressoux                       ,12032  ,12395  ,0
brn     ,Baarn                          ,12032  ,12395  ,0
brusc   ,Brussel-Centraal               ,12032  ,12395  ,0
brusn   ,Brussel-Noord                  ,12032  ,12395  ,0
brusz   ,Brussel-Zuid/Midi              ,12032  ,12395  ,0
bsd     ,Beesd                          ,12032  ,12395  ,0
bsk     ,Boskoop                        ,12032  ,12395  ,0
bsks    ,Boskoop Snijdelwijk            ,12032  ,12395  ,0
bsmz    ,Bussum Zuid                    ,12032  ,12395  ,0
bspd    ,Berlin-Spandau                 ,12032  ,12395  ,0
btl     ,Boxtel                         ,12032  ,12395  ,0
buende  ,Bunde (Westf.)                 ,12032  ,12395  ,0
bv      ,Beverwijk                      ,12032  ,12395  ,0
bzl     ,Kapelle-Biezelinge             ,12032  ,12395  ,0
cas     ,Castricum                      ,12032  ,12395  ,0
chamb   ,Chambery                       ,12032  ,12395  ,0
chur    ,Chur                           ,12032  ,12395  ,0
ck      ,Cuijk                          ,12032  ,12395  ,0
cl      ,Culemborg                      ,12032  ,12395  ,0
co      ,Coevorden                      ,12032  ,12395  ,0
cpbr    ,Capelsebrug                    ,12168  ,12395  ,0
cps     ,Capelle Schollevaar            ,12032  ,12395  ,0
cvm     ,Chevremont                     ,12032  ,12395  ,0
da      ,Daarlerveen                    ,12032  ,12395  ,0
db      ,Driebergen-Zeist               ,12032  ,12395  ,0
ddn     ,Delden                         ,12032  ,12395  ,0
ddr     ,Dordrecht                      ,12032  ,12395  ,0
ddrs    ,Dordrecht Stadspolders         ,12032  ,12395  ,0
ddzd    ,Dordrecht Zuid                 ,12032  ,12395  ,0
decin   ,Decin hl.n.                    ,12032  ,12395  ,0
dei     ,Deinum                         ,12032  ,12395  ,0
