SBI08_3,Omschrijving
000,000: (Nog) onbekend/Geen bedrijfsactiviteiten
011,011: Teelt van eenjarige gewassen
012,012: Teelt van meerjarige gewassen
013,013: Teelt van sierplanten
014,014: Fokken en houden van dieren
015,015: Akker- en/of tuinbouw in combinatie met veehouderij
016,016: Dienstverlening voor de landbouw; behandeling van gewassen
017,017: Jacht
021,021: Bosbouw
022,022: Exploitatie van bossen
024,024: Dienstverlening voor de bosbouw
031,031: Visserij
032,032: Kweken van vis en schaaldieren
061,061: Winning van aardolie
062,062: Winning van aardgas
081,"081: Winning van zand, grind en klei"
089,089: Winning van overige delfstoffen
091,091: Dienstverlening voor de winning van aardolie en aardgas
099,099: Dienstverlening voor de winning van delfstoffen
101,101: Slachterijen en vleesverwerking
102,102: Visverwerking
103,"103: Verwerking van aardappels, groente en fruit"
104,104: Vervaardiging van plantaardige en dierlijke oliën en vetten
105,105: Vervaardiging van zuivelproducten
106,106: Vervaardiging van meel
107,"107: Vervaardiging van brood, banketbakkerswerk en deegwaren"
108,108: Vervaardiging van overige voedingsmiddelen
109,109: Vervaardiging van diervoeders
110,110: Vervaardiging van dranken
120,120: Vervaardiging van tabaksproducten
131,131: Bewerken en spinnen van textielvezels
132,132: Weven van textiel
133,133: Textielveredeling
139,139: Vervaardiging van overige textielproducten
141,141: Vervaardiging van kleding (geen bontkleding)
142,142: Vervaardiging van artikelen van bont
143,143: Vervaardiging van gebreide en gehaakte kleding
151,"151: Looien en bewerken v. leer; vervaardiging v. koffers, tassen"
152,152: Vervaardiging van schoenen
161,161: Primaire houtbewerking en verduurzamen van hout
162,"162: Vervaardiging van artikelen van hout, kurk, riet, vlechtwerk"
171,"171: Vervaardiging van papierpulp, papier en karton"
172,172: Vervaardiging van papier- en kartonwaren
181,181: Drukkerijen en dienstverlening voor drukkerijen
182,182: Reproductie van opgenomen media
191,191: Vervaardiging van cokesovenproducten
192,192: Aardolieverwerking
201,"201: Vervaardiging van chemische basisproducten, kunstmeststoffen"
202,202: Vervaardiging van verdelgingsmiddelen e.d.
203,"203: Vervaardiging van verf, vernis e.d., drukinkt en mastiek"
204,"204: Vervaardiging van zeep, was-, poets- en reinigingsmiddelen"
205,205: Vervaardiging van overige chemische producten
206,206: Vervaardiging van synthetische en kunstmatige vezels
211,211: Vervaardiging van farmaceutische grondstoffen
212,212: Vervaardiging van farmaceutische producten
221,221: Vervaardiging van producten van rubber
222,222: Vervaardiging van producten van kunststof
231,231: Vervaardiging van glas en glaswerk
232,232: Vervaardiging van vuurvaste keramische producten
233,233: Vervaardiging van keramische producten voor de bouw
234,234: Vervaardiging van overige keramische producten
235,"235: Vervaardiging van cement, kalk en gips"
236,"236: Vervaardiging van producten van beton, gips en cement"
237,237: Natuursteenbewerking
239,239: Vervaardiging van ov. niet-metaalhoudende minerale producten
241,241: Vervaardiging van ijzer en staal en van ferrolegeringen
242,"242: Vervaardiging van stalen buizen, pijpen, holle profielen"
243,243: Overige eerste verwerking van staal
244,244: Vervaardiging van edelmetalen en overige non-ferrometalen
245,245: Gieten van metalen
251,251: Vervaardiging van metalen producten voor de bouw
252,"252: Vervaardiging van reservoirs van metaal, ketels"
253,253: Vervaardiging van stoomketels (niet voor c.v.)
254,254: Vervaardiging van wapens en munitie
255,"255: Smeden, persen, stampen en profielwalsen van metaal"
256,256: Oppervlaktebehandeling en bekleding van metaal;
257,"257: Vervaardiging v. scharen, messen, bestek, hang- en sluitwerk"
259,259: Vervaardiging van overige producten van metaal
261,261: Vervaardiging van elektronische componenten en printplaten
262,262: Vervaardiging van computers en randapparatuur
263,263: Vervaardiging van communicatieapparatuur
264,264: Vervaardiging van consumentenelektronica
265,"265: Vervaardiging van meet-, regel-, en controleapparatuur"
266,266: Vervaardiging van bestralingsapparatuur e.d.
267,267: Vervaardiging van optische instrumenten en apparatuur
268,268: Vervaardiging van informatiedragers
271,"271: Vervaardiging van elektromotoren, elektrische generatoren"
272,272: Vervaardiging van batterijen en accumulatoren
273,273: Vervaardiging van elektrische en elektronische kabels
274,"274: Vervaardiging van elektrische lampen, verlichtingsapparaten"
275,275: Vervaardiging van huishoudapparaten
279,279: Vervaardiging van overige elektrische apparatuur
281,"281: Vervaardiging van motoren, turbines, pompen, compressoren"
282,282: Vervaardiging van overige machines en apparaten
283,"283: Vervaardiging van machines, werktuigen voor land- en bosb."
284,284: Vervaardiging van gereedschapswerktuigen
289,"289: Vervaardiging van overige machines, apparaten en werktuigen"
291,291: Vervaardiging van autos
292,"292: Carrosseriebouw; vervaardiging van aanhangwagens, opleggers"
293,293: Vervaardiging van onderdelen en toebehoren voor autos
301,301: Scheepsbouw
302,302: Vervaardiging van rollend spoor- en tramwegmaterieel
303,303: Vervaardiging van vliegtuigen en onderdelen daarvoor
304,304: Vervaardiging van militaire gevechtsvoertuigen
309,309: Vervaardiging van transportmiddelen n.e.g.
310,310: Vervaardiging van meubels
321,321: Slaan van munten; bewerken van edelstenen
322,322: Vervaardiging van muziekinstrumenten
323,323: Vervaardiging van sportartikelen
324,324: Vervaardiging van speelgoed en spellen
325,325: Vervaardiging van medische instrumenten en hulpmiddelen
329,329: Vervaardiging van overige goederen
331,"331: Reparatie van producten van metaal, machines en apparatuur"
332,332: Installatie van industriële machines en apparatuur
351,351: Productie van elektriciteit; transmissie en distributie
352,352: Productie van aardgas
353,353: Productie en distributie van stoom en gekoelde lucht
360,360: Winning en distributie van water
370,370: Afvalwaterinzameling en -behandeling
381,381: Inzameling van afval
382,382: Behandeling van afval
383,383: Voorbereiding tot recycling
390,390: Sanering en overig afvalbeheer
411,411: Projectontwikkeling
412,412: Algemene burgerlijke en utiliteitsbouw
421,"421: Bouw van wegen, spoorwegen en kunstwerken"
422,422: Leggen van kabels en buizen
429,429: Bouw van overige civieltechnische werken
431,"431: Slopen van bouwwerken, grondverzet en proefboren"
432,432: Bouwinstallatie
433,433: Afwerking van gebouwen
439,439: Dakbouw en overige gespecialiseerde werkzaamheden in de bouw
451,451: Handel in autos en aanhangers
452,452: Gespecialiseerde reparatie van autos
453,453: Handel in auto-onderdelen en -accessoires
454,"454: Handel in en reparatie van motorfietsen, onderdelen daarvan"
461,461: Handelsbemiddeling
462,462: Groothandel in landbouwproducten en levende dieren
463,463: Groothandel in voedings- en genotmiddelen
464,464: Groothandel in consumentenartikelen (non-food)
465,465: Groothandel in ICT-apparatuur
466,"466: Groothandel in machines, apparaten, toebehoren voor industr."
467,467: Overige gespecialiseerde groothandel
469,469: Niet-gespecialiseerde groothandel
471,"471: Supermarkten, warenhuizen en dergelijke winkels"
472,472: Gespecialiseerde winkels in voedings- en genotmiddelen
473,473: Benzinestations
474,474: Winkels in consumenten-elektronica
475,475: Winkels in overige huishoudelijke artikelen
476,"476: Winkels in lectuur, sport-, kampeer- en recreatie-artikelen"
477,477: Winkels in overige artikelen
478,478: Markthandel
479,479: Detailhandel niet via winkel of markt
491,491: Personenvervoer per spoor (geen tram of metro)
492,492: Goederenvervoer per spoor
493,493: Personenvervoer over de weg
494,494: Goederenvervoer over de weg
495,495: Transport via pijpleidingen
501,501: Zee- en kustvaart (passagiersvaart en veerdiensten)
502,"502: Zee- en kustvaart (vracht-, tank- en sleepvaart)"
503,503: Binnenvaart (passagiersvaart en veerdiensten)
504,"504: Binnenvaart (vracht-, tank- en sleepvaart)"
511,511: Personenvervoer door de lucht
512,512: Goederenvervoer door de lucht
521,521: Opslag
522,522: Dienstverlening voor vervoer
531,531: Nationale post met universele dienstverplichting
532,532: Post zonder universele dienstverplichting en koeriers
551,551: Hotels e.d.
552,552: Verhuur van vakantiehuisjes en appartementen; jeugdherbergen
553,553: Kampeerterreinen
559,559: Overige logiesverstrekking
561,"561: Restaurants, cafetarias e.d."
562,562: Kantines en catering
563,563: Cafés
581,"581: Uitgeverijen van boeken, tijdschriften e.d.; databanken"
582,582: Uitgeverijen van software
591,591: Productie en distributie van films en televisieprogrammas
592,592: Maken en uitgeven van geluidsopnamen
601,601: Radio-omroepen
602,602: Televisie-omroepen
611,611: Draadgebonden telecommunicatie
612,612: Draadloze telecommunicatie
613,613: Telecommunicatie via satelliet
619,619: Overige telecommunicatie
620,620: Dienstverlenende activiteiten m.b.t. informatietechnologie
631,"631: Gegevensverwerking, webhosting en aanverwante activiteiten"
639,639: Overige dienstverlenende activiteiten op het gebied van info
641,641: Geldscheppende financiële instellingen
642,642: Financiële holdings
643,643: Beleggingsinstellingen
649,649: Kredietverstrekking en overige financiële intermediatie
651,651: Verzekeringen (geen herverzekering)
652,652: Herverzekering
653,653: Pensioenfondsen
661,"661: Financiële bemiddeling, advisering e.d."
662,"662: Dienstverlening op gebied v. verzekeringen, pensioenfondsen"
663,663: Vermogensbeheer
681,681: Handel in eigen onroerend goed
682,682: Verhuur van onroerend goed
683,683: Bemiddeling in en beheer van onroerend
691,691: Rechtskundige dienstverlening
692,"692: Accountancy, belastingadvisering en administratie"
701,"701: Holdings (geen financiële), interne concerndiensten"
702,702: Advisering op het gebied van management en bedrijfsvoering
711,"711: Architecten, ingenieurs en technisch ontwerp en advies"
712,712: Keuring en controle
721,721: Natuurwetenschappelijk speur- en ontwikkelingswerk
722,722: Speur- en ontwikkelingswerk op gebied van de maatschappij
731,731: Reclamebureaus en handel in advertenties en -tijdschriften
732,732: Markt- en opinieonderzoekbureaus
741,741: Industrieel ontwerp en vormgeving
742,742: Fotografie en ontwikkelen van fotos en films
743,743: Vertalers en tolken
749,749: Overige specialistische zakelijke dienstverlening
750,750: Veterinaire dienstverlening
771,771: Verhuur en lease van autos
772,772: Verhuur van consumentenartikelen
773,773: Verhuur en lease van machines en werktuigen e.d.
774,774: Lease van niet-financiële immateriële activa
781,781: Arbeidsbemiddeling
782,"782: Uitzendbureaus, uitleenbureaus en banenpools"
783,783: Payrolling (personeelsbeheer)
791,791: Reisbemiddeling en reisorganisatie
799,799: Informatieverstrekking op het gebied van toerisme
801,801: Particuliere beveiliging
802,802: Beveiliging via beveiligingssystemen
803,803: Opsporing
811,811: Facility management
812,812: Reiniging
813,813: Landschapsverzorging
821,821: Brede administratieve en secretariële dienstverlening
822,822: Callcenters
823,823: Organiseren van congressen en beurzen
829,829: Overige zakelijke dienstverlening n.e.g.
841,841: Openbaar bestuur
842,842: Overheidsdiensten
843,843: Verplichte sociale verzekeringen
852,852: Primair en speciaal onderwijs
853,853: Voortgezet onderwijs
854,854: Tertiair onderwijs
855,855: Overig onderwijs
856,856: Dienstverlening voor het onderwijs
861,861: Ziekenhuizen
862,862: Medische en tandheelkundige praktijken
869,869: Paramedische praktijken en overige gezondsheidszorg
871,871: Verpleeghuizen
872,872: Huizen en dagverblijven voor verstandelijk gehandicapten
873,"873: Huizen, dagverblijven voor niet-verstandelijk gehandicapten"
879,879: Jeugdzorg en maatschappelijke opvang met overnachting
881,881: Maatschap. dienstverl. zonder overnachting (ouderen/gehand.)
889,889: Maatschap. dienstverl. zonder overnachting (overige)
900,900: Kunst
910,"910: Culturele uitleencentra, archieven, musea, dierentuinen"
920,920: Loterijen en kansspelen
931,931: Sport
932,932: Overige recreatie
941,"941: Bedrijfs-, werkgevers- en beroepsorganisaties"
942,942: Werknemersorganisaties
949,949: Levensbeschouwelijke en politieke organisaties
951,951: Reparatie van computers en communicatieapparatuur
952,"952: Reparatie van consumentenartikelen (geen computers, e.d.)"
960,960: Wellness en overige dienstverlening; uitvaartbranche
970,970: Huishoudens als werkgever van huishoudelijk personeel
981,981: Niet-gespecificeerde productie v.goederen door particulieren
982,982: Niet-gespecificeerde productie v.diensten door particulieren
990,990: Extraterritoriale organisaties en lichamen.
