sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
01472,Opfokken en/of houden van vleeskuikens,A,01,014,0147,01
01473,Opfokken en/of houden van ouderdieren van leghennen en vlees,A,01,014,0147,01
01479,Opfokken en/of houden van overig pluimvee,A,01,014,0147,01
01491,Fokken en houden van edelpelsdieren,A,01,014,0149,01
01499,Fokken en houden van overige dieren (rest),A,01,014,0149,01
0150,Akker- en/of tuinbouw in combinatie met veehouderij,A,01,015,0150,01
0161,Dienstverlening voor de akker- en/of tuinbouw,A,01,016,0161,01
0162,Dienstverlening voor het fokken en houden van dieren,A,01,016,0162,01
0163,Behandeling van gewassen na de oogst,A,01,016,0163,01
0164,Behandeling van zaden voor vermeerdering,A,01,016,0164,01
0170,Jacht,A,01,017,0170,01
0210,Bosbouw,A,02,021,0210,01
0220,Exploitatie van bossen,A,02,022,0220,01
0240,Dienstverlening voor de bosbouw,A,02,024,0240,01
0311,Zee- en kustvisserij,A,03,031,0311,01
0312,Binnenvisserij,A,03,031,0312,01
0321,Kweken van zeevis en -schaaldieren,A,03,032,0321,01
0322,Kweken van zoetwatervis en -schaaldieren,A,03,032,0322,01
0610,Winning van aardolie,B,06,061,0610,02
0620,Winning van aardgas,B,06,062,0620,02
0812,"Winning van zand, grind en klei",B,08,081,0812,02
0892,Winning van turf,B,08,089,0892,02
0893,Winning van zout,B,08,089,0893,02
0899,Winning van overige delfstoffen (rest),B,08,089,0899,02
0910,Dienstverlening voor de winning van aardolie en aardgas,B,09,091,0910,02
0990,Dienstverlening voor de winning van delfstoffen,B,09,099,0990,02
1011,Slachterijen (geen pluimvee-),C,10,101,1011,02
1012,Pluimveeslachterijen,C,10,101,1012,02
1013,Vleesverwerking (niet tot maaltijden),C,10,101,1013,02
1020,Visverwerking,C,10,102,1020,02
1031,Vervaardiging van aardappelproducten,C,10,103,1031,02
1032,Vervaardiging van fruit- en groentesap,C,10,103,1032,02
1039,Verwerking van groente en fruit (niet tot sap en maaltijden),C,10,103,1039,02
1041,Vervaardiging van plantaardige en dierlijke oliën en vetten,C,10,104,1041,02
1042,Vervaardiging van margarine en overige spijsvetten,C,10,104,1042,02
1051,Vervaardiging van zuivelproducten (geen consumptie-ijs),C,10,105,1051,02
1052,Vervaardiging van consumptie-ijs,C,10,105,1052,02
1061,Vervaardiging van meel (geen zetmeel),C,10,106,1061,02
1062,Vervaardiging van zetmeel en zetmeelproducten,C,10,106,1062,02
1071,Vervaardiging van brood en vers banketbakkerswerk,C,10,107,1071,02
1072,Vervaardiging van beschuit en koekjes e.d.,C,10,107,1072,02
1073,Vervaardiging van deegwaren,C,10,107,1073,02
1081,Vervaardiging van suiker,C,10,108,1081,02
10821,Verwerking van cacao,C,10,108,1082,02
10822,Vervaardiging van chocolade en suikerwerk,C,10,108,1082,02
1083,Verwerking van koffie en thee,C,10,108,1083,02
1084,"Vervaardiging van specerijen, sauzen en kruiderijen",C,10,108,1084,02
1085,Vervaardiging van kant-en-klaarmaaltijden en snacks,C,10,108,1085,02
