SBI08_5,Omschrijving
1091,1091: Vervaardiging van veevoeders
1092,1092: Vervaardiging van voeders voor huisdieren
1101,"1101: Vervaardiging van sterk alcoholische dranken door distilleren, rectificeren en mengen"
1102,1102: Vervaardiging van wijn uit druiven
1103,1103: Vervaardiging van cider en van overige vruchtenwijnen
1104,1104: Vervaardiging van overige niet-gedistilleerde gegiste dranken
1105,1105: Vervaardiging van bier
1106,1106: Mouterijen
1107,1107: Vervaardiging van frisdranken; productie van mineraalwater en overig gebotteld water
1200,1200: Vervaardiging van tabaksproducten
1310,1310: Bewerken en spinnen van textielvezels
1320,1320: Weven van textiel
1330,1330: Textielveredeling
1391,1391: Vervaardiging van gebreide en gehaakte stoffen
1392,1392: Vervaardiging van geconfectioneerde artikelen van textiel (geen kleding)
1393,1393: Vervaardiging van vloerkleden en tapijt
1394,"1394: Vervaardiging van koord, bindgaren, touw en netten"
1395,1395: Vervaardiging van gebonden textielvlies en artikelen daarvan (geen kleding)
1396,1396: Vervaardiging van technisch en industrieel textiel
1399,1399: Vervaardiging van overige textielproducten (rest)
1411,1411: Vervaardiging van kleding van leer
1412,1412: Vervaardiging van werkkleding
1413,1413: Vervaardiging van overige bovenkleding
1414,1414: Vervaardiging van onderkleding
1419,1419: Vervaardiging van baby- en sportkleding en kledingaccessoires
1420,1420: Vervaardiging van artikelen van bont
1431,1431: Vervaardiging van gebreide en gehaakte kousen en sokken
1439,1439: Vervaardiging van gebreide en gehaakte kleding (geen kousen en sokken)
1511,1511: Looien en bewerken van leer; bereiden en verven van bont
1512,"1512: Vervaardiging van koffers, tassen e.d. en van zadel- en tuigmakerswerk"
1520,1520: Vervaardiging van schoenen
16101,16101: Zagen en schaven en overige primaire houtbewerking
16102,16102: Verduurzamen van hout
1621,1621: Vervaardiging van fineer en plaatmateriaal op basis van hout
1622,1622: Vervaardiging van panelen voor parketvloeren
16231,"16231: Vervaardiging van deuren, ramen en kozijnen van hout"
16239,"16239: Vervaardiging van overig timmerwerk voor de bouw (geen deuren, ramen en kozijnen)"
1624,1624: Vervaardiging van houten emballage
1629,"1629: Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels)"
1711,1711: Vervaardiging van papierpulp
17121,17121: Vervaardiging van grafisch papier en karton
17122,17122: Vervaardiging van papier en karton voor verpakking
17129,17129: Vervaardiging van papier en karton (geen grafisch en niet voor verpakking)
17211,17211: Vervaardiging van verpakkingsmiddelen van papier en karton
17212,17212: Vervaardiging van golfpapier en -karton
1722,1722: Vervaardiging van huishoudelijke en sanitaire papierwaren
1723,1723: Vervaardiging van kantoorbenodigdheden van papier
1724,1724: Vervaardiging van behangselpapier
1729,1729: Vervaardiging van overige papier- en kartonwaren
1811,1811: Drukkerijen van dagbladen
18121,18121: Drukkerijen van boeken e.d.
18122,18122: Drukkerijen van tijdschriften
18123,18123: Drukkerijen van reclame
18124,18124: Drukkerijen van verpakkingen
18125,18125: Drukkerijen van formulieren
18129,18129: Overige drukkerijen (rest)
1813,1813: Prepress- en premedia-activiteiten
1814,1814: Grafische afwerking en overige activiteiten verwant aan de drukkerij
1820,1820: Reproductie van opgenomen media
1910,1910: Vervaardiging van cokesovenproducten
19201,19201: Aardolieraffinage
19202,19202: Aardolieverwerking (geen -raffinage)
2011,2011: Vervaardiging van industriële gassen
2012,2012: Vervaardiging van kleur- en verfstoffen
2013,2013: Vervaardiging van overige anorganische basischemicaliën
20141,20141: Vervaardiging van petrochemische producten
20149,20149: Vervaardiging van overige organische basischemicaliën (geen petrochemische producten)
2015,2015: Vervaardiging van kunstmeststoffen en stikstofverbindingen
2016,2016: Vervaardiging van kunststof in primaire vorm
2017,2017: Vervaardiging van synthetische rubber in primaire vorm
2020,2020: Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën
2030,"2030: Vervaardiging van verf, vernis e.d., drukinkt en mastiek"
2041,"2041: Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen"
2042,2042: Vervaardiging van parfums en cosmetica
2051,2051: Vervaardiging van kruit en springstoffen en van lucifers
2052,2052: Vervaardiging van lijm en bereide kleefmiddelen
2053,2053: Vervaardiging van etherische oliën
2059,2059: Vervaardiging van overige chemische producten (rest)
2060,2060: Vervaardiging van synthetische en kunstmatige vezels
2110,2110: Vervaardiging van farmaceutische grondstoffen
2120,2120: Vervaardiging van farmaceutische producten (geen grondstoffen)
2211,2211: Vervaardiging van rubberbanden en loopvlakvernieuwing
2219,2219: Vervaardiging van producten van rubber (geen banden)
2221,"2221: Vervaardiging van platen, folie, buizen en profielen van kunststof"
2222,2222: Vervaardiging van verpakkingsmiddelen van kunststof
2223,2223: Vervaardiging van kunststofproducten voor de bouw
2229,2229: Vervaardiging van overige producten van kunststof
2311,2311: Vervaardiging van vlakglas
2312,2312: Vormen en bewerken van vlakglas
2313,2313: Vervaardiging van holglas
2314,2314: Vervaardiging van glasvezels
2319,"2319: Vervaardiging en bewerking van overig glas, inclusief technisch glaswerk"
2320,2320: Vervaardiging van vuurvaste keramische producten
2331,2331: Vervaardiging van keramische tegels en plavuizen
2332,2332: Vervaardiging van keramische producten voor de bouw (geen tegels en plavuizen)
2341,2341: Vervaardiging van huishoudelijk en sieraardewerk
2342,2342: Vervaardiging van sanitair aardewerk
2343,2343: Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen
2344,2344: Vervaardiging van overig technisch aardewerk
2349,2349: Vervaardiging van overige keramische producten (rest)
2351,2351: Vervaardiging van cement
2352,2352: Vervaardiging van kalk en gips
23611,23611: Vervaardiging van producten voor de bouw van beton
23612,23612: Vervaardiging van producten voor de bouw van kalkzandsteen en cellenbeton
2362,2362: Vervaardiging van producten voor de bouw van gips
2363,2363: Vervaardiging van stortklare beton
2364,2364: Vervaardiging van mortel in droge vorm
2365,2365: Vervaardiging van producten van vezelcement
2369,"2369: Vervaardiging van overige producten van beton, gips en cement"
2370,2370: Natuursteenbewerking
2391,"2391: Vervaardiging van schuur-, slijp- en polijstmiddelen"
2399,"2399: Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)"
2410,2410: Vervaardiging van ijzer en staal en van ferrolegeringen
2420,"2420: Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor"
2431,2431: Koudtrekken van staven
2432,2432: Koudwalsen van bandstaal
2433,2433: Koudvervormen en koudfelsen
2434,2434: Koudtrekken van draad
2441,2441: Vervaardiging van edelmetalen
2442,2442: Vervaardiging van aluminium
2443,"2443: Vervaardiging van lood, zink en tin"
2444,2444: Vervaardiging van koper
2445,2445: Vervaardiging van overige non-ferrometalen
2446,2446: Smelten en raffineren van uranium
2451,2451: Gieten van ijzer
2452,2452: Gieten van staal
2453,2453: Gieten van lichte metalen
2454,2454: Gieten van overige non-ferrometalen
2511,2511: Vervaardiging van metalen constructiewerken en delen daarvan
2512,"2512: Vervaardiging van metalen deuren, vensters en kozijnen"
2521,2521: Vervaardiging van ketels en radiatoren voor centrale verwarming
2529,2529: Vervaardiging van metalen tanks en reservoirs
2530,2530: Vervaardiging van stoomketels (geen ketels voor centrale verwarming)
2540,2540: Vervaardiging van wapens en munitie
2550,"2550: Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie"
2561,2561: Oppervlaktebehandeling en bekleding van metaal
2562,2562: Algemene metaalbewerking
2571,"2571: Vervaardiging van scharen, messen en bestek"
2572,2572: Vervaardiging van hang- en sluitwerk
2573,2573: Vervaardiging van gereedschap
2591,2591: Vervaardiging van stalen vaten e.d.
2592,2592: Vervaardiging van verpakkingsmiddelen van licht metaal
2593,2593: Vervaardiging van artikelen van draad en van kettingen en veren
2594,"2594: Vervaardiging van bouten, schroeven en moeren"
2599,2599: Vervaardiging van overige producten van metaal (rest)
2611,2611: Vervaardiging van elektronische componenten
2612,2612: Vervaardiging van elektronische printplaten
2620,2620: Vervaardiging van computers en randapparatuur
2630,2630: Vervaardiging van communicatieapparatuur
2640,2640: Vervaardiging van consumentenelektronica
2651,"2651: Vervaardiging van meet-, regel-, navigatie- en controleapparatuur"
2652,2652: Vervaardiging van uurwerken
2660,2660: Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur
2670,2670: Vervaardiging van optische instrumenten en apparatuur
