"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"COG";"Congo";178.00;6787.70;6612.60;6458.67;6327.04;6217.41;6128.41;6057.91;6003.41;5962.26;5931.91
"COD";"Democratic Republic of the Congo";180.00;7328.99;6901.16;6579.83;6368.12;6244.58;6180.34;6150.45;6137.98;6133.30;6131.72
"COK";"Cook Islands";184.00;5481.22;5352.17;5230.05;5116.89;5014.07;4922.39;4842.11;4773.02;4714.56;4665.92
"CRI";"Costa Rica";188.00;3513.44;3422.81;3343.13;3275.00;3218.25;3172.18;3135.69;3107.48;3086.18;3070.47
"HRV";"Croatia";191.00;5582.83;5438.80;5312.20;5203.93;5113.77;5040.56;4982.58;4937.75;4903.91;4878.94
"CUB";"Cuba";192.00;11037.30;10857.16;10688.12;10531.16;10386.88;10255.55;10137.15;10031.40;9937.82;9855.75
"CYP";"Cyprus";196.00;3655.88;3614.19;3570.66;3525.73;3479.86;3433.50;3387.05;3340.91;3295.44;3250.98
"CZE";"Czech Republic";203.00;7520.77;7343.70;7176.14;7020.87;6879.80;6754.00;6643.84;6549.04;6468.84;6402.09
"BEN";"Benin";204.00;6161.76;6456.33;6643.02;6706.98;6694.75;6658.51;6599.56;6519.99;6422.56;6310.50
"DNK";"Denmark";208.00;2717.60;2653.61;2593.07;2536.96;2485.98;2440.53;2400.72;2366.47;2337.48;2313.37
"DMA";"Dominica";212.00;12291.26;11974.18;11695.44;11457.09;11258.57;11097.40;10969.75;10871.06;10796.54;10741.57
"DOM";"Dominican Republic";214.00;11333.98;11010.16;10452.87;9802.12;9191.05;8704.37;8367.75;8162.95;8052.54;7999.53
"ECU";"Ecuador";218.00;5703.65;5556.51;5427.17;5316.56;5224.44;5149.65;5090.41;5044.62;5010.04;4984.53
"SLV";"El Salvador";222.00;8652.01;8405.57;8194.06;8018.66;7877.91;7768.48;7685.99;7625.65;7582.79;7553.22
"GNQ";"Equatorial Guinea";226.00;10834.64;10308.46;9915.46;9649.97;9486.79;9395.15;9348.01;9325.76;9316.09;9312.23
"ETH";"Ethiopia";231.00;12354.42;12927.08;13400.20;13753.79;13972.44;14046.43;14032.31;13990.22;13921.01;13826.05
"ERI";"Eritrea";232.00;12475.84;13129.48;13627.80;13940.06;14046.43;14026.11;13965.73;13867.02;13732.77;13566.71
"EST";"Estonia";233.00;3453.54;3400.61;3349.01;3299.17;3251.44;3206.13;3163.45;3123.57;3086.58;3052.54
"FRO";"Faroe Islands";234.00;3584.93;3375.66;3218.48;3114.92;3054.49;3023.07;3008.45;3002.35;3000.06;2999.29
"FLK";"Falkland Islands (Malvinas)";238.00;2485.95;2421.82;2365.44;2317.23;2277.08;2244.48;2218.67;2198.71;2183.63;2172.52
"FJI";"Fiji";242.00;3758.63;3670.11;3590.89;3521.57;3462.22;3412.47;3371.59;3338.68;3312.68;3292.54
"FIN";"Finland";246.00;4165.11;4097.13;4033.34;3974.11;3919.66;3870.10;3825.42;3785.52;3750.20;3719.23
"FRA";"France";250.00;7818.61;7730.01;7642.73;7557.20;7473.79;7392.85;7314.66;7239.48;7167.50;7098.88
"GUF";"French Guiana";254.00;4952.45;4824.69;4712.38;4616.34;4536.36;4471.42;4419.98;4380.22;4350.19;4328.04
"PYF";"French Polynesia";258.00;10717.30;10091.68;9621.79;9312.21;9131.55;9037.61;8993.91;8975.67;8968.83;8966.52
"DJI";"Djibouti";262.00;10901.24;10620.01;10372.80;10161.40;9985.33;9842.39;9729.17;9641.64;9575.55;9526.80
"GAB";"Gabon";266.00;5692.39;5529.76;5249.86;4923.03;4616.12;4371.69;4202.63;4099.77;4044.32;4017.69
"GEO";"Georgia";268.00;5741.76;5609.36;5483.16;5365.26;5257.21;5159.96;5073.93;4999.11;4935.08;4881.15
"GMB";"Gambia";270.00;2162.63;2146.53;2100.61;2031.36;1947.92;1860.10;1776.51;1703.34;1643.85;1598.67
"PSE";"Occupied Palestinian Territory";275.00;6265.71;6565.25;6755.08;6820.12;6807.68;6770.83;6710.89;6629.98;6530.90;6416.96
"DEU";"Germany";276.00;7738.74;7556.53;7384.12;7224.35;7079.19;6949.75;6836.39;6738.85;6656.32;6587.64
"GHA";"Ghana";288.00;3725.19;3697.47;3618.37;3499.09;3355.36;3204.08;3060.10;2934.06;2831.59;2753.76
"GIB";"Gibraltar";292.00;3066.02;3019.03;2973.22;2928.97;2886.60;2846.37;2808.48;2773.07;2740.24;2710.02
"KIR";"Kiribati";296.00;24306.47;23612.02;22416.89;21021.31;19710.82;18667.11;17945.19;17505.99;17269.21;17155.52
"GRC";"Greece";300.00;12248.70;11932.72;11654.95;11417.42;11219.59;11058.98;10931.77;10833.42;10759.16;10704.38
"GRL";"Greenland";304.00;1775.16;1729.37;1689.11;1654.69;1626.02;1602.74;1584.30;1570.05;1559.29;1551.35
"GRD";"Grenada";308.00;4191.64;4092.95;3999.57;3913.03;3834.40;3764.29;3702.89;3650.06;3605.35;3568.15
"GLP";"Guadeloupe";312.00;9652.35;9542.96;9435.22;9329.62;9226.66;9126.73;9030.21;8937.39;8848.53;8763.82
"GUM";"Guam";316.00;279.56;272.98;266.75;260.98;255.73;251.06;246.96;243.44;240.46;237.97
"GTM";"Guatemala";320.00;4505.18;4388.96;4286.79;4199.43;4126.66;4067.59;4020.80;3984.63;3957.31;3937.16
"GIN";"Guinea";324.00;7784.24;7561.84;7179.09;6732.15;6312.46;5978.21;5747.01;5606.36;5530.53;5494.12
"GUY";"Guyana";328.00;685.40;667.72;652.17;638.88;627.81;618.82;611.71;606.20;602.05;598.98
"HTI";"Haiti";332.00;10605.15;10526.23;10301.04;9961.45;9552.28;9121.61;8711.71;8352.88;8061.17;7839.60
"HMD";"Heard Island and McDonald Islands";334.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00
"VAT";"Holy See (the)";336.00;1002.98;1001.01;999.05;997.09;995.13;993.17;991.22;989.27;987.32;985.38
"HND";"Honduras";340.00;7593.33;7536.82;7375.58;7132.44;6839.47;6531.10;6237.61;5980.70;5771.83;5613.18
"HKG";"Hong Kong";344.00;24707.70;24077.70;23509.83;23010.76;22582.61;22223.72;21929.59;21693.74;21508.62;21366.35
"HUN";"Hungary";348.00;6352.91;6203.34;6061.80;5930.64;5811.47;5705.21;5612.16;5532.08;5464.33;5407.95
"ISL";"Iceland";352.00;3287.29;3230.10;3176.77;3127.62;3082.85;3042.52;3006.58;2974.90;2947.26;2923.39
"IND";"India";356.00;16177.61;16496.02;16434.90;16256.03;15972.34;15603.66;15174.40;14710.95;14238.98;13781.19
"IDN";"Indonesia";360.00;10877.61;10566.83;10031.98;9407.44;8820.97;8353.89;8030.81;7834.27;7728.30;7677.42
"IRN";"Iran (Islamic Republic of)";364.00;8157.28;7946.84;7761.85;7603.66;7471.92;7364.95;7280.24;7214.74;7165.28;7128.80
"IRQ";"Iraq";368.00;8157.28;7946.84;7761.85;7603.66;7471.92;7364.95;7280.24;7214.74;7165.28;7128.80
"IRL";"Ireland";372.00;2761.84;2728.82;2696.34;2664.57;2633.67;2603.77;2575.00;2547.44;2521.17;2496.25
"ISR";"Israel";376.00;4026.42;3964.71;3904.55;3846.44;3790.80;3737.97;3688.21;3641.71;3598.59;3558.91
"ITA";"Italy";380.00;4613.37;4504.75;4401.97;4306.73;4220.19;4143.02;4075.45;4017.30;3968.10;3927.16
"CIV";"Cote d'Ivoire";384.00;7508.46;7293.94;6924.75;6493.65;6088.83;5766.42;5543.41;5407.74;5334.59;5299.48
"JAM";"Jamaica";388.00;3639.10;3553.42;3472.34;3397.21;3328.95;3268.08;3214.78;3168.91;3130.10;3097.80
"JPN";"Japan";392.00;5737.97;5650.03;5564.31;5481.49;5402.20;5326.90;5255.99;5189.73;5128.28;5071.73
"KAZ";"Kazakhstan";398.00;3723.14;3505.80;3342.56;3235.01;3172.25;3139.62;3124.44;3118.10;3115.72;3114.92
"JOR";"Jordan";400.00;7139.78;6935.80;6584.74;6174.80;5789.86;5483.28;5271.22;5142.21;5072.66;5039.26
"KEN";"Kenya";404.00;9810.54;10279.54;10576.77;10678.60;10659.13;10601.43;10507.57;10380.89;10225.76;10047.35
"PRK";"Democratic People's Republic of Korea";408.00;18256.12;17190.42;16390.00;15862.65;15554.91;15394.89;15320.45;15289.38;15277.72;15273.79
"KOR";"Republic of Korea";410.00;14005.61;12625.97;11762.07;11382.22;11260.85;11232.19;11227.14;11226.48;11226.41;11226.40
"KWT";"Kuwait";414.00;3748.37;3651.67;3566.67;3493.98;3433.44;3384.29;3345.36;3315.26;3292.54;3275.77
"KGZ";"Kyrgyzstan";417.00;3748.37;3651.67;3566.67;3493.98;3433.44;3384.29;3345.36;3315.26;3292.54;3275.77
"LAO";"Lao People's Democratic Republic";418.00;15881.72;15763.54;15426.31;14917.76;14305.01;13660.05;13046.20;12508.85;12072.00;11740.18
"LBN";"Lebanon";422.00;4001.58;3916.44;3835.11;3758.74;3688.21;3624.05;3566.57;3515.80;3471.59;3433.62
"LSO";"Lesotho";426.00;1953.17;1938.64;1897.16;1834.62;1759.26;1679.94;1604.45;1538.37;1484.64;1443.83
"LVA";"Latvia";428.00;4070.65;3974.81;3884.12;3800.08;3723.72;3655.63;3596.01;3544.70;3501.28;3465.16
"LBR";"Liberia";430.00;2499.72;2428.31;2305.39;2161.87;2027.10;1919.76;1845.52;1800.35;1776.00;1764.30
"LBY";"Libyan Arab Jamahiriya";434.00;5356.07;4828.46;4498.09;4352.83;4306.41;4295.45;4293.52;4293.26;4293.24;4293.24
"LIE";"Liechtenstein";438.00;9456.66;9776.30;10036.01;10227.69;10345.24;10384.85;10377.30;10354.74;10317.50;10266.12
"LTU";"Lithuania";440.00;3942.38;3858.79;3777.30;3699.27;3625.83;3557.81;3495.76;3439.99;3390.57;3347.38
"LUX";"Luxembourg";442.00;1698.02;1671.99;1646.62;1622.12;1598.65;1576.37;1555.38;1535.78;1517.59;1500.86
"MAC";"Macao";446.00;17264.29;16857.81;16473.18;16116.75;15792.90;15504.13;15251.26;15033.64;14849.53;14696.31
"MDG";"Madagascar";450.00;32495.19;34048.66;35033.18;35370.46;35305.97;35114.85;34803.98;34384.37;33870.52;33279.60
"MWI";"Malawi";454.00;7972.29;8241.76;8460.70;8622.30;8721.40;8754.79;8748.42;8729.40;8698.01;8654.69
"MYS";"Malaysia";458.00;4092.52;4062.07;3975.17;3844.12;3686.22;3520.02;3361.84;3223.37;3110.80;3025.30
"MDV";"Maldives";462.00;328.60;304.87;287.45;276.88;271.49;269.16;268.30;268.03;267.96;267.94
"MLI";"Mali";466.00;7122.92;7069.91;6918.66;6690.58;6415.76;6126.50;5851.19;5610.19;5414.26;5265.44
"MLT";"Malta";470.00;29008.88;28815.04;28608.11;28389.40;28160.25;27922.03;27676.15;27423.99;27166.94;26906.39
"MTQ";"Martinique";474.00;4506.61;4400.51;4300.10;4207.06;4122.53;4047.15;3981.14;3924.33;3876.27;3836.28
"MRT";"Mauritania";478.00;6893.53;7029.21;7003.17;6926.95;6806.06;6648.96;6466.05;6268.56;6067.45;5872.38
"MUS";"Mauritius";480.00;3763.64;3675.03;3591.18;3513.48;3442.88;3379.93;3324.80;3277.36;3237.22;3203.82
"MEX";"Mexico";484.00;6239.49;6078.53;5937.03;5816.03;5715.26;5633.44;5568.64;5518.54;5480.72;5452.81
"MCO";"Monaco";492.00;15626.30;15258.38;14910.24;14587.63;14294.51;14033.14;13804.26;13607.29;13440.64;13301.96
"MNG";"Mongolia";496.00;7448.13;7255.98;7087.08;6942.64;6822.35;6724.69;6647.33;6587.53;6542.37;6509.06
"MDA";"Moldova, Republic of";498.00;5221.41;4844.31;4567.49;4399.59;4313.99;4276.96;4263.28;4258.95;4257.77;4257.49
"MSR";"Montserrat";500.00;152.81;157.98;162.18;165.27;167.17;167.81;167.69;167.33;166.72;165.89
"MAR";"Morocco";504.00;11380.94;11087.34;10829.25;10608.54;10424.73;10275.50;10157.30;10065.92;9996.92;9946.02
"MOZ";"Mozambique";508.00;11924.29;11835.56;11582.36;11200.53;10740.46;10256.22;9795.33;9391.87;9063.88;8814.75
"OMN";"Oman";512.00;2349.40;2117.97;1973.05;1909.33;1888.98;1884.17;1883.32;1883.21;1883.20;1883.20
"NAM";"Namibia";516.00;2690.28;2670.26;2613.14;2526.99;2423.19;2313.94;2209.96;2118.93;2044.93;1988.73
"NRU";"Nauru";520.00;168.11;164.16;160.41;156.94;153.79;150.97;148.51;146.39;144.60;143.11
"NPL";"Nepal";524.00;13570.74;14219.51;14630.67;14771.52;14744.59;14664.77;14534.95;14359.71;14145.11;13898.33
"NLD";"Netherlands";528.00;4130.35;4117.62;4104.91;4092.23;4079.59;4066.99;4054.43;4041.92;4029.47;4017.07
"ANT";"Netherlands Antilles";530.00;2181.33;2156.61;2132.26;2108.40;2085.13;2062.54;2040.73;2019.75;1999.67;1980.53
"ABW";"Aruba";533.00;1290.18;1262.73;1236.51;1211.89;1189.14;1168.46;1149.93;1133.56;1119.30;1107.06
