"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"AFG";"Afghanistan";4.00;15423.19;16160.52;16627.80;16787.88;16757.28;16666.56;16519.01;16319.85;16075.97;15795.50
"ALB";"Albania";8.00;6879.38;6545.29;6295.75;6127.18;6023.57;5965.39;5935.46;5921.32;5915.19;5912.74
"DZA";"Algeria";12.00;8474.90;8411.83;8231.88;7960.50;7633.52;7289.35;6961.79;6675.04;6441.93;6264.86
"ASM";"American Samoa";16.00;1451.66;1440.85;1410.03;1363.55;1307.54;1248.59;1192.48;1143.36;1103.43;1073.10
"AND";"Andorra";20.00;1750.49;1611.34;1453.80;1340.96;1283.69;1262.24;1256.20;1254.90;1254.69;1254.66
"AGO";"Angola";24.00;12849.82;13350.46;13523.59;13490.44;13392.62;13234.83;13024.53;12771.29;12486.12;12180.66
"ATG";"Antigua and Barbuda";28.00;8977.99;8541.98;8216.33;7996.33;7861.11;7785.18;7746.12;7727.67;7719.67;7716.47
"AZE";"Azerbaijan";31.00;4224.80;3978.17;3792.94;3670.90;3599.69;3562.65;3545.43;3538.24;3535.54;3534.63
"ARG";"Argentina";32.00;5580.72;5951.11;5649.89;5298.16;4967.86;4704.81;4522.86;4412.17;4352.49;4323.83
"AUS";"Australia";36.00;1392.90;1311.58;1250.51;1210.28;1186.80;1174.59;1168.91;1166.54;1165.65;1165.35
"AUT";"Austria";40.00;3412.54;3360.24;3309.25;3260.00;3212.84;3168.06;3125.89;3086.48;3049.94;3016.30
"BHS";"Bahamas";44.00;1733.35;1690.23;1636.11;1575.96;1514.70;1456.51;1404.49;1360.44;1324.98;1297.75
"BHR";"Bahrain";48.00;12470.77;11992.79;11245.79;10449.22;9777.67;9307.80;9028.87;8886.68;8823.99;8799.97
"BGD";"Bangladesh";50.00;32607.32;31675.71;30072.43;28200.25;26442.22;25042.08;24073.62;23484.43;23166.78;23014.26
"ARM";"Armenia";51.00;7393.82;6962.21;6638.03;6424.45;6299.81;6235.01;6204.86;6192.27;6187.55;6185.96
"BRB";"Barbados";52.00;1996.45;1916.07;1847.40;1792.22;1750.33;1720.20;1699.62;1686.27;1678.02;1673.17
"BEL";"Belgium";56.00;2289.93;2280.05;2270.20;2260.38;2250.62;2240.90;2231.25;2221.67;2212.16;2202.73
"BMU";"Bermuda";60.00;1998.26;1917.80;1849.08;1793.84;1751.91;1721.75;1701.16;1687.80;1679.54;1674.68
"BTN";"Bhutan";64.00;8517.30;8924.48;9182.53;9270.94;9254.03;9203.94;9122.45;9012.47;8877.79;8722.90
"BOL";"Bolivia";68.00;6436.32;6253.00;6095.65;5965.16;5860.46;5779.05;5717.69;5672.80;5640.92;5618.92
"BIH";"Bosnia and Herzegovina";70.00;4937.65;4581.04;4319.26;4160.48;4079.54;4044.52;4031.58;4027.49;4026.38;4026.11
"BWA";"Botswana";72.00;1122.87;1012.26;942.99;912.54;902.81;900.51;900.11;900.05;900.05;900.05
"BRA";"Brazil";76.00;5823.28;5249.65;4890.46;4732.52;4682.06;4670.14;4668.04;4667.77;4667.74;4667.74
"BLZ";"Belize";84.00;9880.92;9807.39;9597.58;9281.18;8899.95;8498.69;8116.78;7782.46;7510.67;7304.23
"IOT";"British Indian Ocean Territory";86.00;270.01;256.90;247.10;240.49;236.42;234.13;232.96;232.41;232.16;232.07
"SLB";"Solomon Islands";90.00;4269.78;4493.49;4664.03;4770.90;4807.31;4800.35;4779.69;4745.91;4699.96;4643.13
"VGB";"British Virgin Islands";92.00;259.51;233.95;217.94;210.90;208.65;208.12;208.03;208.01;208.01;208.01
"BRN";"Brunei Darussalam";96.00;1942.30;1886.81;1791.31;1679.79;1575.07;1491.67;1433.98;1398.88;1379.96;1370.88
"BGR";"Bulgaria";100.00;5812.62;5473.31;5218.46;5050.55;4952.57;4901.62;4877.92;4868.03;4864.32;4863.06
"MMR";"Myanmar";104.00;11827.54;12060.33;12015.65;11884.87;11677.46;11407.92;11094.09;10755.26;10410.19;10075.50
"BDI";"Burundi";108.00;5562.04;5750.04;5902.79;6015.54;6084.67;6107.97;6103.53;6090.26;6068.36;6038.14
"BLR";"Belarus";112.00;4781.41;4436.08;4182.59;4028.83;3950.45;3916.54;3904.01;3900.05;3898.97;3898.72
"KHM";"Cambodia";116.00;3026.42;3085.98;3074.55;3041.09;2988.02;2919.04;2838.74;2752.04;2663.75;2578.11
"CMR";"Cameroon";120.00;13870.46;13767.25;13472.72;13028.57;12493.42;11930.14;11394.03;10924.73;10543.20;10253.40
"CAN";"Canada";124.00;4138.59;4007.28;3898.24;3811.61;3745.61;3697.34;3663.40;3640.43;3625.47;3616.07
"CPV";"Cape Verde";132.00;3623.49;3266.55;3043.04;2944.77;2913.37;2905.95;2904.65;2904.48;2904.46;2904.46
"CYM";"Cayman Islands";136.00;3990.43;3945.21;3900.66;3857.01;3814.44;3773.13;3733.23;3694.85;3658.12;3623.10
"CAF";"Central African Republic";140.00;6801.66;6607.33;6272.90;5882.37;5515.66;5223.60;5021.58;4898.68;4832.42;4800.61
"LKA";"Sri Lanka";144.00;9577.76;10035.64;10325.82;10425.23;10406.22;10349.89;10258.26;10134.59;9983.13;9808.96
