"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"AFG";"Afghanistan";4.00;15081.86;15642.48;16141.66;16567.79;16910.67;17161.91;17315.23;17366.78;17356.95;17327.57
"ALB";"Albania";8.00;6879.38;6545.29;6295.75;6127.18;6023.57;5965.39;5935.46;5921.32;5915.19;5912.74
"DZA";"Algeria";12.00;8474.90;8411.83;8231.88;7960.50;7633.52;7289.35;6961.79;6675.04;6441.93;6264.86
"ASM";"American Samoa";16.00;1451.66;1440.85;1410.03;1363.55;1307.54;1248.59;1192.48;1143.36;1103.43;1073.10
"AND";"Andorra";20.00;1750.49;1611.34;1453.80;1340.96;1283.69;1262.24;1256.20;1254.90;1254.69;1254.66
"AGO";"Angola";24.00;12557.62;12464.18;12197.53;11795.42;11310.92;10800.95;10315.58;9890.70;9545.28;9282.92
"ATG";"Antigua and Barbuda";28.00;8977.99;8541.98;8216.33;7996.33;7861.11;7785.18;7746.12;7727.67;7719.67;7716.47
"AZE";"Azerbaijan";31.00;4224.80;3978.17;3792.94;3670.90;3599.69;3562.65;3545.43;3538.24;3535.54;3534.63
"ARG";"Argentina";32.00;5580.72;5951.11;5649.89;5298.16;4967.86;4704.81;4522.86;4412.17;4352.49;4323.83
"AUS";"Australia";36.00;1392.90;1311.58;1250.51;1210.28;1186.80;1174.59;1168.91;1166.54;1165.65;1165.35
"AUT";"Austria";40.00;3412.54;3360.24;3309.25;3260.00;3212.84;3168.06;3125.89;3086.48;3049.94;3016.30
"BHS";"Bahamas";44.00;1733.35;1690.23;1636.11;1575.96;1514.70;1456.51;1404.49;1360.44;1324.98;1297.75
"BHR";"Bahrain";48.00;12470.77;11992.79;11245.79;10449.22;9777.67;9307.80;9028.87;8886.68;8823.99;8799.97
"BGD";"Bangladesh";50.00;32607.32;31675.71;30072.43;28200.25;26442.22;25042.08;24073.62;23484.43;23166.78;23014.26
"ARM";"Armenia";51.00;7393.82;6962.21;6638.03;6424.45;6299.81;6235.01;6204.86;6192.27;6187.55;6185.96
"BRB";"Barbados";52.00;1996.45;1916.07;1847.40;1792.22;1750.33;1720.20;1699.62;1686.27;1678.02;1673.17
"BEL";"Belgium";56.00;2289.93;2280.05;2270.20;2260.38;2250.62;2240.90;2231.25;2221.67;2212.16;2202.73
"BMU";"Bermuda";60.00;1998.26;1917.80;1849.08;1793.84;1751.91;1721.75;1701.16;1687.80;1679.54;1674.68
