"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"AFG";"Afghanistan";4.00;13713.77;14063.93;14370.64;14628.90;14834.45;14983.82;15074.49;15104.88;15099.09;15081.75
"ALB";"Albania";8.00;6347.47;6039.21;5808.97;5653.43;5557.83;5504.15;5476.53;5463.49;5457.83;5455.57
"DZA";"Algeria";12.00;7946.47;8102.87;8072.85;7984.99;7845.64;7664.54;7453.69;7226.04;6994.21;6769.34
"ASM";"American Samoa";16.00;1395.22;1384.84;1355.22;1310.54;1256.71;1200.05;1146.12;1098.91;1060.54;1031.39
"AND";"Andorra";20.00;1918.95;1766.40;1593.71;1470.00;1407.22;1383.71;1377.08;1375.66;1375.43;1375.40
"AGO";"Angola";24.00;12292.92;12936.98;13427.99;13735.67;13840.48;13820.46;13760.96;13663.70;13531.42;13367.79
"ATG";"Antigua and Barbuda";28.00;8579.18;8162.54;7851.35;7641.13;7511.91;7439.36;7402.03;7384.41;7376.76;7373.70
"AZE";"Azerbaijan";31.00;4157.82;3915.10;3732.81;3612.70;3542.62;3506.17;3489.22;3482.14;3479.49;3478.59
"ARG";"Argentina";32.00;6314.61;6733.72;6392.88;5994.89;5621.16;5323.52;5117.64;4992.39;4924.86;4892.44
"AUS";"Australia";36.00;1899.97;1789.06;1705.76;1650.88;1618.85;1602.19;1594.45;1591.21;1590.00;1589.59
"AUT";"Austria";40.00;4652.45;4581.15;4511.64;4444.49;4380.19;4319.15;4261.65;4207.92;4158.10;4112.25
"BHS";"Bahamas";44.00;2183.10;1968.05;1833.39;1774.18;1755.26;1750.79;1750.01;1749.90;1749.89;1749.89
"BHR";"Bahrain";48.00;14442.66;13889.10;13023.99;12101.46;11323.72;10779.56;10456.52;10291.85;10219.25;10191.44
"BGD";"Bangladesh";50.00;31136.96;30247.36;28716.37;26928.62;25249.86;23912.86;22988.06;22425.45;22122.12;21976.48
"ARM";"Armenia";51.00;8792.65;8279.38;7893.87;7639.89;7491.67;7414.60;7378.75;7363.78;7358.17;7356.28
"BRB";"Barbados";52.00;1997.35;1916.93;1848.24;1793.03;1751.12;1720.97;1700.39;1687.03;1678.78;1673.92
"BEL";"Belgium";56.00;3657.61;3641.82;3626.09;3610.41;3594.81;3579.30;3563.88;3548.57;3533.38;3518.32
"BMU";"Bermuda";60.00;1926.59;1849.02;1782.76;1729.51;1689.08;1660.00;1640.15;1627.26;1619.30;1614.62
"BTN";"Bhutan";64.00;8131.79;8520.54;8766.91;8851.31;8835.17;8787.35;8709.55;8604.55;8475.96;8328.08
"BOL";"Bolivia";68.00;7285.41;7077.90;6899.80;6752.10;6633.58;6541.44;6471.98;6421.17;6385.08;6360.18
"BIH";"Bosnia and Herzegovina";70.00;4822.24;4473.96;4218.31;4063.24;3984.19;3949.98;3937.35;3933.35;3932.27;3932.01
"BWA";"Botswana";72.00;1105.45;996.56;928.37;898.39;888.81;886.55;886.15;886.10;886.09;886.09
"BRA";"Brazil";76.00;5703.62;5141.77;4789.96;4635.27;4585.85;4574.18;4572.12;4571.85;4571.82;4571.82
"BLZ";"Belize";84.00;9676.44;10183.42;10569.92;10812.12;10894.62;10878.86;10832.02;10755.46;10651.34;10522.54
"IOT";"British Indian Ocean Territory";86.00;258.61;246.05;236.67;230.34;226.44;224.25;223.13;222.60;222.37;222.27
"SLB";"Solomon Islands";90.00;4008.37;4174.00;4317.25;4433.72;4519.72;4572.48;4590.26;4586.87;4576.74;4560.03
"VGB";"British Virgin Islands";92.00;248.56;224.07;208.74;202.00;199.85;199.34;199.25;199.24;199.24;199.24
"BRN";"Brunei Darussalam";96.00;1986.48;1929.72;1832.05;1717.99;1610.89;1525.59;1466.59;1430.70;1411.35;1402.06
"BGR";"Bulgaria";100.00;6236.36;5872.32;5598.89;5418.74;5313.62;5258.95;5233.53;5222.91;5218.93;5217.59
"MMR";"Myanmar";104.00;11527.91;11754.80;11711.25;11583.79;11381.64;11118.92;10813.04;10482.79;10146.47;9820.25
"BDI";"Burundi";108.00;5128.12;5301.45;5442.28;5546.23;5609.97;5631.45;5627.36;5615.12;5594.93;5567.07
"BLR";"Belarus";112.00;5408.43;5017.82;4731.09;4557.17;4468.50;4430.15;4415.98;4411.49;4410.27;4409.99
"KHM";"Cambodia";116.00;2856.92;2932.70;2958.60;2953.65;2938.96;2915.02;2882.62;2842.77;2796.71;2745.82
"CMR";"Cameroon";120.00;13570.74;14219.51;14630.67;14771.52;14744.59;14664.77;14534.95;14359.71;14145.11;13898.33
"CAN";"Canada";124.00;6822.66;6606.19;6426.44;6283.62;6174.82;6095.25;6039.29;6001.42;5976.76;5961.27
"CPV";"Cape Verde";132.00;3453.27;3113.10;2900.10;2806.44;2776.51;2769.45;2768.20;2768.04;2768.02;2768.02
"CYM";"Cayman Islands";136.00;3811.60;3768.41;3725.86;3684.16;3643.50;3604.04;3565.93;3529.27;3494.18;3460.73
"CAF";"Central African Republic";140.00;6495.33;6309.76;5990.38;5617.45;5267.25;4988.34;4795.43;4678.06;4614.79;4584.41
"LKA";"Sri Lanka";144.00;8485.17;8890.81;9147.89;9235.96;9219.12;9169.21;9088.04;8978.47;8844.29;8689.99
"TCD";"Chad";148.00;8085.21;8459.99;8769.61;9001.01;9144.11;9192.53;9183.29;9155.74;9110.45;9048.30
"CHL";"Chile";152.00;9079.26;8549.26;8151.19;7888.92;7735.88;7656.29;7619.27;7603.82;7598.02;7596.07
"CHN";"China";156.00;11266.99;11183.15;10943.91;10583.13;10148.42;9690.87;9255.39;8874.17;8564.25;8328.85
"TWN";"Taiwan, Province of China";158.00;8137.67;7336.05;6834.10;6613.40;6542.88;6526.23;6523.30;6522.91;6522.87;6522.87
"CXR";"Christmas Island";162.00;264.00;254.93;246.84;239.94;234.27;229.81;226.41;223.93;222.17;220.97
"CCK";"Cocos (Keeling) Islands";166.00;262.12;251.57;242.55;235.31;229.81;225.85;223.15;221.39;220.31;219.67
