basis;nr1;nr2;nr3;nr4;nr5;nr6;nr7;nr8
A;À;Á;Â;Ä;Ã;Å;Æ
a;à;á;â;ä;ã;å;æ
C;Ç 
c;ç 
E;È;É;Ê;Ë
e;è;é;ê;ë
I;Ì;Í;Î;Ï
i;ì;í;î;ï
N;Ñ
n;ñ
O;Ò;Ó;Ô;Ö;Õ;Ø;Œ
o;ò;ó;ô;ö;õ;ø;œ
U;Ù;Ú;Û;Ü 
u;ù;ú;û;ü 
Y;Ý 
y;ý;ÿ 
