Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP5_ABW;0.107;0.127;0.143;0.157;0.166;0.17;0.17;0.164;0.152;0.135;0.105105344;0.162591846;0.210655804;0.254665653;0.288176096;0.310023095;0.321627733;0.319112074;0.302322011;0.273229788
AFG;Afghanistan;SSP5_AFG;31.412;39.247;46.594;52.874;57.179;59.474;60.457;60.347;59.335;57.594;24.09642;41.7364356;64.3209817;89.2286481;112.260857;130.780624;144.778615;154.210035;159.416148;160.935629
AGO;Angola;SSP5_AGO;19.082;24.635;30.014;34.785;38.646;41.474;43.245;43.903;43.488;42.105;15.82808;23.1910178;31.3462916;39.4440347;46.6741336;52.4981531;56.6399996;58.9185369;59.3690891;58.1687501
ALB;Albania;SSP5_ALB;3.204;3.216;3.148;3.053;2.935;2.78;2.58;2.334;2.028;1.701;2.158353;2.55994353;2.839856;3.02201541;3.11153117;3.10071071;2.98815671;2.78023168;2.46702039;2.10209932
ARE;United Arab Emirates;SSP5_ARE;7.512;11.538;14.458;16.95;18.642;19.497;19.477;18.581;17.144;15.227;6.974068;11.0317822;14.1684595;16.9554214;18.9698058;20.123682;20.3414108;19.5961081;18.2273623;16.2978759
ARG;Argentina;SSP5_ARG;40.412;42.93;44.252;44.756;44.322;43.103;41.318;39.014;35.961;32.414;36.653224;39.6496565;41.450138;42.3809117;42.3236736;41.426627;39.9081731;37.8267916;34.968364;31.5895937
ARM;Armenia;SSP5_ARM;3.092;2.973;2.744;2.495;2.213;1.924;1.668;1.437;1.229;1.045;2.3738515;2.5690863;2.56023525;2.45285413;2.25822438;2.01822388;1.78689297;1.56500164;1.35623047;1.16560559
AUS;Australia;SSP5_AUS;22.268;26.845;32.34;38.025;44.222;50.657;56.427;61.201;64.492;66.449;18.294772;22.4622621;27.4829538;32.7404572;38.4998525;44.5150667;49.975151;54.5610408;57.8131044;59.8437427
AUT;Austria;SSP5_AUT;8.394;8.869;9.497;10.136;10.836;11.535;12.034;12.343;12.439;12.354;4.9900225;5.74950746;6.56396465;7.35161645;8.15464902;8.9332381;9.53286495;9.9556708;10.180333;10.2313342
AZE;Azerbaijan;SSP5_AZE;9.188;10.051;10.459;10.655;10.548;10.196;9.684;8.966;8.134;7.332;6.88063;8.7775977;10.2664446;11.4254514;12.0934596;12.3000664;12.1463203;11.5879986;10.7598338;9.87613601
BDI;Burundi;SSP5_BDI;8.382;10.903;13.213;15.185;16.822;17.91;18.386;18.282;17.69;16.738;7.0871805;14.2710781;25.5118431;40.7870938;59.0079124;77.2476487;92.5921396;103.177989;108.480318;109.026961
BEL;Belgium;SSP5_BEL;10.712;11.515;12.559;13.677;14.896;16.2;17.415;18.44;19.266;19.831;8.65629;9.33059817;10.2015554;11.13409;12.1502958;13.23732;14.2526563;15.1129454;15.8098917;16.2921268
BEN;Benin;SSP5_BEN;8.85;11.282;13.623;15.726;17.413;18.621;19.366;19.612;19.373;18.71;6.570404;10.3647697;14.6554384;18.996618;22.9097992;26.1080087;28.4872521;29.9278761;30.4163375;30.0381522
BFA;Burkina Faso;SSP5_BFA;16.469;20.764;24.811;28.484;31.293;33.108;34.217;34.727;34.724;34.266;12.054728;22.8631508;36.759864;51.7519035;65.2119714;75.6694702;83.2933969;88.3176845;91.0793908;91.884482
BGD;Bangladesh;SSP5_BGD;148.692;162.575;170.957;173.744;171.098;163.88;153.935;142.198;129.35;116.176;137.456704;204.276896;273.335367;333.403442;375.917168;397.793876;402.158206;392.336892;371.773903;344.378818
BGR;Bulgaria;SSP5_BGR;7.494;7.056;6.755;6.541;6.334;6.086;5.743;5.305;4.8;4.22;4.304936;4.48725893;4.55291075;4.57383702;4.54167291;4.44359763;4.2506407;3.96825208;3.62094672;3.20543271
BHR;Bahrain;SSP5_BHR;1.262;1.956;2.524;3.052;3.472;3.747;3.873;3.839;3.675;3.393;1.2392465;1.98781889;2.61736178;3.20699886;3.6824176;4.00148835;4.15797731;4.13874747;3.97534071;3.68055877
BHS;Bahamas;SSP5_BHS;0.343;0.387;0.424;0.454;0.472;0.477;0.469;0.448;0.416;0.373;0.283096438;0.335409392;0.377397183;0.410885679;0.432054054;0.440230828;0.435540141;0.418060829;0.389709924;0.350540245
BIH;Bosnia and Herzegovina;SSP5_BIH;3.76;3.711;3.609;3.465;3.271;3.03;2.755;2.457;2.131;1.8;2.69836175;3.16553499;3.51107262;3.72197878;3.78526358;3.70892431;3.51889947;3.24173624;2.88238661;2.48178192
BLR;Belarus;SSP5_BLR;9.595;9.222;8.815;8.433;7.999;7.494;6.932;6.312;5.66;4.976;6.8645885;7.23935321;7.26846884;7.16454499;6.93265973;6.5877899;6.1585513;5.65379683;5.10285538;4.51001546
BLZ;Belize;SSP5_BLZ;0.312;0.353;0.365;0.363;0.348;0.325;0.3;0.276;0.252;0.228;0.234483125;0.309181828;0.358354378;0.388084594;0.396660696;0.388919397;0.372681683;0.352966773;0.329697524;0.303718851
BOL;Bolivia;SSP5_BOL;9.93;10.965;11.474;11.599;11.358;10.842;10.224;9.559;8.858;8.165;7.9598465;9.62294522;10.761412;11.432781;11.6271677;11.4294926;11.0301086;10.504742;9.88067643;9.21910415
BRA;Brazil;SSP5_BRA;194.946;207.991;215.02;216.625;213.077;204.589;192.205;177.009;159.272;139.102;154.171632;168.632269;177.296642;180.801877;179.470618;173.544234;163.961666;151.694276;137.013592;120.04377
BRB;Barbados;SSP5_BRB;0.273;0.277;0.277;0.271;0.259;0.242;0.223;0.201;0.176;0.15;0.236943375;0.294046086;0.339843295;0.368983162;0.380477457;0.376149311;0.361758948;0.337018876;0.302850652;0.263498186
BRN;Brunei;SSP5_BRN;0.399;0.457;0.503;0.537;0.56;0.568;0.561;0.537;0.498;0.445;0.3192995;0.400581847;0.469362939;0.522725347;0.560734336;0.579511457;0.579502402;0.559255058;0.521425394;0.467570401
BTN;Bhutan;SSP5_BTN;0.726;0.866;0.998;1.109;1.194;1.243;1.246;1.205;1.13;1.034;0.135147969;0.220296973;0.314785988;0.404526871;0.480924562;0.536509167;0.565104247;0.566732456;0.546131995;0.510244526
BWA;Botswana;SSP5_BWA;2.007;2.233;2.42;2.573;2.698;2.769;2.756;2.667;2.517;2.321;1.53331362;1.91855772;2.2798834;2.60248179;2.88053725;3.07928815;3.15964841;3.12770445;3.00177441;2.80254099
CAF;Central African Republic;SSP5_CAF;4.401;5.14;5.812;6.336;6.665;6.819;6.813;6.653;6.367;5.988;2.8572155;4.09379451;5.44339142;6.73344232;7.80986567;8.6156707;9.12453659;9.32262324;9.24273566;8.93722926
CAN;Canada;SSP5_CAN;34.017;38.876;45.107;51.576;58.817;66.597;73.927;80.335;85.101;88.101;26.091234;31.0284975;37.175533;43.6248637;50.8099016;58.5266094;65.8859161;72.4242705;77.4483511;80.8024773
CHE;Switzerland;SSP5_CHE;7.664;8.264;9.05;9.903;10.828;11.771;12.512;13.033;13.337;13.468;5.995676;7.10153565;8.17798082;9.2281727;10.2996607;11.3616266;12.2092765;12.8252766;13.2125804;13.4150586
CHL;Chile;SSP5_CHL;17.114;18.409;19.224;19.571;19.444;18.899;18.015;16.728;15.072;13.067;14.905082;16.4553571;17.5380812;18.1413368;18.2481269;17.9077084;17.1971752;16.0602664;14.5343771;12.6437306
CHN;China;SSP5_CHN;1341.335;1370.95;1359.188;1308.693;1224.522;1117.585;999.737;880.994;762.385;644.558;1079.41709;1376.67088;1584.33872;1687.95413;1694.29048;1625.6056;1508.22773;1365.74907;1206.54578;1036.45575
CIV;Côte dIvoire;SSP5_CIV;19.738;22.28;23.855;24.703;24.76;24.221;23.468;22.537;21.445;20.237;13.388645;17.7579392;21.5021802;24.4386127;26.2804495;27.1163377;27.3620521;27.1062269;26.4177214;25.3952234
CMR;Cameroon;SSP5_CMR;19.599;23.136;26.126;28.536;30.139;30.989;31.17;30.67;29.57;27.977;16.45245;21.9615006;27.4729475;32.5799926;36.6803737;39.5733383;41.2338111;41.6132934;40.8451192;39.1305227
COD;Democratic Republic of the Congo;SSP5_COD;65.966;83.853;101.579;117.241;129.597;138.446;144.048;146.355;145.618;142.159;47.482832;77.654109;114.071192;152.094487;187.126071;216.467959;239.067414;254.104582;261.697136;262.37273
COG;Republic of Congo;SSP5_COG;4.043;5.003;5.916;6.719;7.334;7.749;7.946;7.916;7.683;7.278;3.3677365;4.69503864;6.02242485;7.24395924;8.24502016;8.98973686;9.44406172;9.58917747;9.44992715;9.06343297
COL;Colombia;SSP5_COL;46.295;51.411;54.898;56.981;57.54;56.773;54.974;52.312;48.701;44.068;41.554376;50.6123254;56.7560767;60.6898236;62.5153293;62.5603973;61.2201968;58.7329774;55.0351181;50.0629973
COM;Comoros;SSP5_COM;0.735;0.856;0.927;0.971;0.97;0.939;0.899;0.85;0.792;0.73;0.590535563;0.970880805;1.36140287;1.71702121;1.95538777;2.07608638;2.12267934;2.1043714;2.02980716;1.91936506
CPV;Cape Verde;SSP5_CPV;0.496;0.512;0.495;0.464;0.42;0.368;0.322;0.283;0.249;0.219;0.384718563;0.451677253;0.474685409;0.470950368;0.443873217;0.400710793;0.358712905;0.320957985;0.28647604;0.254930563
CRI;Costa Rica;SSP5_CRI;4.659;5.291;5.822;6.231;6.474;6.55;6.447;6.156;5.653;4.976;3.61158075;4.63257691;5.50252079;6.1972566;6.67383044;6.93188962;6.96028232;6.75034514;6.27626492;5.58073099
CUB;Cuba;SSP5_CUB;11.258;10.937;10.294;9.463;8.463;7.32;6.176;5.134;4.194;3.329;9.242997;9.85047852;9.72929557;9.20766058;8.3948991;7.36104094;6.27412307;5.25669633;4.32110075;3.44732652
CYP;Cyprus;SSP5_CYP;1.104;1.263;1.42;1.554;1.663;1.728;1.731;1.66;1.513;1.32;0.781232062;0.993314293;1.19292547;1.36387423;1.5047396;1.59850583;1.62794987;1.58105531;1.45535815;1.27970005
CZE;Czech Republic;SSP5_CZE;10.493;11.214;12.031;12.819;13.782;14.763;15.529;16.064;16.395;16.553;6.369478;7.47858915;8.43705477;9.26974088;10.1724697;11.05642;11.7571244;12.2645406;12.6007495;12.791183
DEU;Germany;SSP5_DEU;82.302;83.307;85.774;88.561;91.934;95.496;98.291;100.005;100.214;99.065;58.890924;65.3644938;70.9145744;75.681492;80.3579806;84.8436727;88.4059365;90.8118913;91.6998317;91.2147755
