Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP4_ABW;0.107;0.124;0.135;0.142;0.147;0.148;0.147;0.14;0.131;0.118;0.105105344;0.138903497;0.16712277;0.189792902;0.208536565;0.220057172;0.226958958;0.222873112;0.213877038;0.196757642
AFG;Afghanistan;SSP4_AFG;31.412;41.6;55.153;70.545;87.831;105.685;123.324;140.76;157.181;171.515;24.09642;44.2386863;76.1363073;119.049722;172.44064;232.396513;295.328547;359.696498;422.30032;479.266494
AGO;Angola;SSP4_AGO;19.082;25.588;33.626;41.752;50.051;57.841;64.645;70.586;75.517;79.222;15.82808;24.0881576;35.1186247;47.344181;60.4483533;73.2156453;84.6685807;94.727555;103.094543;109.446496
ALB;Albania;SSP4_ALB;3.204;3.248;3.225;3.141;3.004;2.824;2.593;2.314;2.019;1.743;2.158353;2.5854156;2.9093188;3.10912231;3.1846813;3.14978671;3.00321331;2.75640793;2.45607207;2.154003
ARE;United Arab Emirates;SSP4_ARE;7.512;10.985;13.14;14.893;16.119;16.738;16.599;15.791;14.634;13.229;6.974068;10.5030445;12.8768542;14.8977635;16.4024407;17.2760009;17.335682;16.6536862;15.5587505;14.1593616
ARG;Argentina;SSP4_ARG;40.412;43.233;45.018;45.891;45.734;44.649;42.8;40.352;37.593;34.708;36.653224;39.9295039;42.1676379;43.4556801;43.6720114;42.9124995;41.3396053;39.1240759;36.5553157;33.8252489
ARM;Armenia;SSP4_ARM;3.092;3.012;2.847;2.647;2.401;2.141;1.896;1.655;1.439;1.263;2.3738515;2.60278773;2.65633738;2.60228652;2.4500663;2.24585101;2.03114453;1.80242012;1.58797042;1.40876542
AUS;Australia;SSP4_AUS;22.268;25.807;28.963;31.706;34.087;35.983;37.062;37.22;36.405;34.59;18.294772;21.5937269;24.6131351;27.2996433;29.6762804;31.6202232;32.8243402;33.1818424;32.6348394;31.151636
AUT;Austria;SSP4_AUT;8.394;8.645;8.784;8.811;8.73;8.501;8.118;7.633;7.054;6.387;4.9900225;5.39553942;5.7191406;5.95173256;6.08892706;6.09700461;5.96576343;5.72998595;5.39484675;4.96510527
AZE;Azerbaijan;SSP4_AZE;9.188;10.017;10.329;10.376;10.103;9.585;8.904;8.075;7.246;6.457;6.88063;8.7479053;10.1388379;11.1262772;11.5832596;11.5629792;11.1679922;10.4364364;9.5851679;8.69751912
BDI;Burundi;SSP4_BDI;8.382;11.015;13.505;15.808;18.099;20.078;21.618;22.878;23.673;23.982;7.0871805;14.4176764;26.0756408;42.4604793;63.4873503;86.5984528;108.868534;129.1164;145.169845;156.212485
BEL;Belgium;SSP4_BEL;10.712;11.176;11.473;11.654;11.671;11.514;11.193;10.733;10.127;9.368;8.65629;9.05590666;9.31940798;9.48721834;9.5197437;9.40830262;9.16049278;8.79648825;8.3103277;7.69626564
BEN;Benin;SSP4_BEN;8.85;11.678;14.821;17.977;21.015;23.8;26.218;28.263;29.858;31.062;6.570404;10.7285747;15.9442305;21.7157702;27.6488503;33.3693468;38.5664967;43.1292863;46.8781812;49.8687913
BFA;Burkina Faso;SSP4_BFA;16.469;22.162;29.254;37.314;45.887;54.358;62.426;70.056;77.105;83.493;12.054728;24.4024826;43.3425924;67.7949209;95.6246359;124.237074;151.961703;178.166375;202.242726;223.886974
BGD;Bangladesh;SSP4_BGD;148.692;163.885;174.36;178.799;177.054;169.807;158.655;144.943;130.215;115.847;137.456704;205.922922;278.776269;343.103658;389.003018;412.180771;414.489298;399.910591;374.26006;343.403569
BGR;Bulgaria;SSP4_BGR;7.494;7.035;6.639;6.286;5.946;5.59;5.171;4.714;4.255;3.798;4.304936;4.473904;4.47472605;4.3955266;4.26346497;4.081451;3.82727896;3.52617159;3.20981839;2.88488944
BHR;Bahrain;SSP4_BHR;1.262;1.87;2.306;2.698;3.023;3.242;3.335;3.315;3.208;3.021;1.2392465;1.9004199;2.39129804;2.83502062;3.20620634;3.46218982;3.580391;3.57383378;3.47017497;3.27703155
BHS;Bahamas;SSP4_BHS;0.343;0.384;0.415;0.435;0.443;0.441;0.427;0.403;0.372;0.339;0.283096438;0.33280932;0.369386394;0.393690023;0.40550836;0.40700586;0.396536547;0.376068112;0.348490605;0.318587515
BIH;Bosnia and Herzegovina;SSP4_BIH;3.76;3.699;3.566;3.371;3.117;2.828;2.513;2.19;1.89;1.629;2.69836175;3.15529883;3.46923939;3.62100735;3.60705184;3.46166269;3.20979832;2.88945965;2.55641046;2.24601264
