Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP1_ABW;0.107;0.124;0.135;0.143;0.148;0.149;0.146;0.14;0.129;0.114;0.0405554727;0.0612549792;0.0767354122;0.0895017301;0.0991371093;0.104847014;0.106581565;0.10511195;0.0990012232;0.0890274223
AFG;Afghanistan;SSP1_AFG;31.412;39.535;47.674;55.001;60.68;64.557;66.94;67.824;67.261;65.377;0.800410437;1.39653188;2.18607209;3.08313791;3.95728737;4.71541385;5.32480555;5.75705753;6.00267599;6.06820393
AGO;Angola;SSP1_AGO;19.082;24.583;29.851;34.507;38.247;40.97;42.671;43.296;42.885;41.536;7.8957655;11.5443139;15.5520334;19.5192233;23.0427918;25.8702169;27.8795761;28.984882;29.205347;28.6250818
ALB;Albania;SSP1_ALB;3.204;3.245;3.226;3.161;3.052;2.899;2.703;2.459;2.148;1.81;1.19328087;1.42806919;1.60896339;1.7298744;1.78883706;1.7876598;1.73081207;1.61941766;1.44463878;1.23665255
ARE;United Arab Emirates;SSP1_ARE;7.512;10.949;13.059;14.798;15.935;16.389;16.113;15.162;13.844;12.242;1.83491325;2.75434895;3.36708201;3.8946754;4.2663041;4.45062976;4.42756324;4.20713641;3.87259978;3.4474533
ARG;Argentina;SSP1_ARG;40.412;43.044;44.611;45.367;45.173;44.177;42.562;40.356;37.319;33.709;24.049284;26.084417;27.4173203;28.1870134;28.3030286;27.8585344;26.9733293;25.673029;23.8102263;21.5549615
ARM;Armenia;SSP1_ARM;3.092;3.016;2.863;2.684;2.46;2.218;1.993;1.771;1.555;1.348;1.19750775;1.31474009;1.34754072;1.33109321;1.26632613;1.17368242;1.07704681;0.972974312;0.865638956;0.758490262
AUS;Australia;SSP1_AUS;22.268;26.044;29.722;33.215;36.592;39.637;41.83;42.94;42.699;41.441;15.595779;18.5770966;21.5318573;24.3797835;27.1573196;29.6926124;31.5816699;32.6336941;32.6300861;31.815635
AUT;Austria;SSP1_AUT;8.394;8.734;9.057;9.323;9.542;9.656;9.558;9.278;8.805;8.21;3.5050205;3.97701504;4.39695703;4.74963222;5.04386841;5.25262778;5.31824718;5.25644622;5.06167126;4.77590729
AZE;Azerbaijan;SSP1_AZE;9.188;10.023;10.368;10.495;10.328;9.925;9.381;8.657;7.837;7.06;3.22407425;4.10148341;4.76871889;5.27326002;5.54847325;5.61028564;5.51335448;5.24268723;4.85767071;4.4560098
BDI;Burundi;SSP1_BDI;8.382;10.724;12.683;14.293;15.572;16.372;16.665;16.493;15.935;15.088;1.10766388;2.19382547;3.82733865;6.00020181;8.53712253;11.0363615;13.1167633;14.5478063;15.2724841;15.3601875
BEL;Belgium;SSP1_BEL;10.712;11.324;11.931;12.516;13.05;13.49;13.773;13.834;13.665;13.251;5.417799;5.74296932;6.06567682;6.37706036;6.66221724;6.89903096;7.05491802;7.09621981;7.0183992;6.81354161
BEN;Benin;SSP1_BEN;8.85;11.251;13.527;15.565;17.185;18.337;19.043;19.269;19.028;18.376;2.92669175;4.60415138;6.48205119;8.37513955;10.071221;11.4520686;12.4775957;13.0977923;13.3072431;13.1412089
BFA;Burkina Faso;SSP1_BFA;16.469;20.862;25.182;29.234;32.528;34.907;36.523;37.4;37.592;37.144;3.63988175;6.93602837;11.2654801;16.0377505;20.4676202;24.0896301;26.8450951;28.7198303;29.7725245;30.0744221
BGD;Bangladesh;SSP1_BGD;148.692;163.543;173.814;178.519;177.675;172.005;163.036;151.627;138.534;124.672;12.632638;18.8853732;25.5400545;31.4827625;35.8758068;38.3708424;39.1445401;38.4476967;36.5929117;33.9638617
BGR;Bulgaria;SSP1_BGR;7.494;7.059;6.708;6.42;6.133;5.81;5.422;4.973;4.486;3.948;2.79387825;2.91344295;2.93425339;2.91348201;2.85398402;2.75308543;2.60444908;2.41419919;2.1962458;1.94622092
BHR;Bahrain;SSP1_BHR;1.262;1.861;2.28;2.66;2.958;3.137;3.196;3.135;2.986;2.756;0.936190938;1.42876587;1.786142;2.1115562;2.3700539;2.53080751;2.59207833;2.55326031;2.44013328;2.25847788
BHS;Bahamas;SSP1_BHS;0.343;0.383;0.413;0.434;0.444;0.443;0.43;0.409;0.378;0.338;0.114400227;0.134139137;0.148550914;0.15872574;0.164237201;0.16521835;0.161367578;0.154232981;0.143097621;0.12836252
BIH;Bosnia and Herzegovina;SSP1_BIH;3.76;3.713;3.608;3.453;3.244;2.99;2.709;2.412;2.092;1.77;0.69331675;0.813790535;0.901884617;0.953012843;0.964557113;0.940390106;0.889049173;0.817676174;0.727046156;0.627040941
BLR;Belarus;SSP1_BLR;9.595;9.238;8.827;8.417;7.953;7.41;6.822;6.191;5.541;4.869;3.38156375;3.57236378;3.58539339;3.52262905;3.39545705;3.20883459;2.98562182;2.73172566;2.46086647;2.17390471
BLZ;Belize;SSP1_BLZ;0.312;0.356;0.38;0.391;0.39;0.38;0.364;0.346;0.324;0.295;0.0392043906;0.052132958;0.0623772984;0.0698907417;0.0743237556;0.0760296434;0.0756033939;0.0739816402;0.0708734002;0.0657025206
BOL;Bolivia;SSP1_BOL;9.93;11.072;11.835;12.245;12.297;12.057;11.642;11.081;10.39;9.625;2.9506845;3.60199858;4.11472447;4.47412598;4.66647914;4.7116703;4.65591053;4.51408743;4.29620139;4.02857407
BRA;Brazil;SSP1_BRA;194.946;208.26;215.84;217.973;214.893;206.803;194.68;179.584;161.79;141.412;85.785272;93.9529167;99.0288754;101.229088;100.713414;97.6097063;92.4075044;85.6346939;77.4433543;67.9048476
BRB;Barbados;SSP1_BRB;0.273;0.277;0.276;0.27;0.257;0.239;0.219;0.198;0.173;0.146;0.103613258;0.128583772;0.148073989;0.160757699;0.165094668;0.162447699;0.155356452;0.145175763;0.130176535;0.112152765
