Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
SDN;Sudan;SSP2_SDN;43.552;54.185;64.512;73.969;81.625;87.42;91.214;93.128;93.063;91.593;8.3697625;12.0274717;16.0398265;20.108509;23.814623;26.9874807;29.4735196;31.2353243;32.1906181;32.5090574
SEN;Senegal;SSP2_SEN;12.434;15.651;18.791;21.76;24.252;26.194;27.869;29.264;30.361;31.15;5.2223125;7.57284288;10.1527369;12.8151018;15.2854648;17.4258463;19.3648898;21.070004;22.5109815;23.6698841
SGP;Singapore;SSP2_SGP;5.086;5.719;6.088;6.373;6.53;6.591;6.51;6.276;5.941;5.538;4.407249;4.95577213;5.27552731;5.5224927;5.6585403;5.71139956;5.6412094;5.43843781;5.14814516;4.79892744
SLB;Solomon Islands;SSP2_SLB;0.538;0.664;0.78;0.887;0.971;1.034;1.076;1.095;1.093;1.077;0;0;0;0;0;0;0;0;0;0
SLE;Sierra Leone;SSP2_SLE;5.868;7.323;8.755;10.118;11.279;12.197;12.833;13.174;13.248;13.145;2.04317812;2.9480524;3.97153739;5.06109674;6.11163245;7.05780426;7.83978155;8.4195336;8.79313052;9.00812128
SLV;El Salvador;SSP2_SLV;6.193;6.383;6.396;6.291;6.081;5.77;5.465;5.187;4.948;4.757;1.49098237;1.64916291;1.74856958;1.80017992;1.80613452;1.76718635;1.71710896;1.66512436;1.6175591;1.5794472
SOM;Somalia;SSP2_SOM;9.331;11.235;13.184;14.934;16.162;17.052;17.765;18.358;18.842;19.229;3.71642025;5.17892956;6.85936459;8.58419685;10.0837012;11.3827453;12.5417279;13.5799054;14.4954425;15.2923882
SRB;Serbia;SSP2_SRB;9.856;9.732;9.73;9.727;9.669;9.573;9.3;8.846;8.311;7.728;2.80779275;3.06805684;3.29145852;3.46127054;3.57182041;3.63832015;3.61348649;3.49768168;3.33268558;3.13464086
STP;Sao Tome and Principe;SSP2_STP;0.165;0.185;0.199;0.208;0.211;0.21;0.207;0.204;0.202;0.201;0.0333954922;0.0404190476;0.0461523466;0.0505730727;0.053285933;0.0546973251;0.0553083215;0.0556798959;0.0561346831;0.0567204389
SUR;Suriname;SSP2_SUR;0.525;0.572;0.613;0.642;0.659;0.667;0.666;0.658;0.645;0.626;0.155972344;0.179536739;0.201067586;0.218238501;0.230688147;0.239249283;0.243829868;0.245113177;0.243855406;0.239714436
SVK;Slovakia;SSP2_SVK;5.462;5.607;5.669;5.613;5.53;5.404;5.178;4.909;4.661;4.427;2.141936;2.43749091;2.64587764;2.75557339;2.81732484;2.83101147;2.77150088;2.67213839;2.57142734;2.4689253
SVN;Slovenia;SSP2_SVN;2.03;2.094;2.135;2.167;2.199;2.22;2.222;2.209;2.178;2.128;0.598394375;0.695114197;0.774614661;0.841063901;0.899063577;0.945495165;0.977730446;0.998067041;1.00573156;1.00064876
SWE;Sweden;SSP2_SWE;9.38;10.186;10.986;11.705;12.512;13.324;13.994;14.559;14.958;15.133;2.953839;3.29704905;3.63406817;3.94007094;4.27206626;4.60302373;4.88205197;5.12117536;5.29840396;5.39246917
SWZ;Swaziland;SSP2_SWZ;1.186;1.325;1.427;1.496;1.546;1.579;1.59;1.581;1.557;1.516;0.0428348711;0.0590100779;0.0763042827;0.0935818948;0.110456622;0.126134357;0.139429026;0.149866068;0.157520799;0.161993335
SYR;Syria;SSP2_SYR;20.411;24.177;27.93;31.134;33.57;35.422;36.563;37.032;36.841;36.105;8.693053;11.3885591;14.1167289;16.5556505;18.5358556;20.1265395;21.2427877;21.8986705;22.0976159;21.9088501
TCD;Chad;SSP2_TCD;11.227;14.532;18.255;21.912;25.238;28.118;30.396;32.206;33.481;34.197;1.84743825;2.93091645;4.35935077;6.00769734;7.73967463;9.44089722;10.9844935;12.3579931;13.4967936;14.3610835
TGO;Togo;SSP2_TGO;6.028;7.277;8.47;9.523;10.349;10.957;11.337;11.506;11.523;11.416;2.1915585;3.06112308;3.97658984;4.85909895;5.62909138;6.2643358;6.74270124;7.06421165;7.26067673;7.34946675
THA;Thailand;SSP2_THA;69.122;72.846;75.018;75.219;73.552;70.863;67.348;63.271;58.972;54.662;15.359191;18.9995571;22.3720025;25.0692316;26.8711279;27.9286856;28.2653146;27.9811314;27.2497559;26.2112716
TJK;Tajikistan;SSP2_TJK;6.879;7.544;7.943;8.098;8.045;7.829;7.6;7.387;7.208;7.078;0.919266;1.22753975;1.52746842;1.79065713;1.99698509;2.1376731;2.24466582;2.32803418;2.39744688;2.46274123
TKM;Turkmenistan;SSP2_TKM;5.042;5.595;6.009;6.26;6.374;6.341;6.203;6.002;5.778;5.547;0.467971688;0.584338998;0.685938385;0.76475573;0.820726384;0.851039085;0.860640192;0.855563255;0.84221244;0.823746893
TLS;East Timor;SSP2_TLS;1.124;1.377;1.651;1.883;2.059;2.182;2.28;2.383;2.492;2.608;0.203355594;0.305408994;0.433531963;0.56754921;0.693902756;0.804813859;0.904767313;1.00374468;1.10237033;1.2015198
TON;Tonga;SSP2_TON;0.104;0.108;0.11;0.11;0.106;0.101;0.096;0.093;0.091;0.09;0;0;0;0;0;0;0;0;0;0
TTO;Trinidad and Tobago;SSP2_TTO;1.341;1.372;1.36;1.319;1.247;1.151;1.049;0.948;0.859;0.785;0.369688625;0.488595233;0.610576173;0.727299679;0.822338926;0.884793445;0.918083993;0.92509697;0.918059896;0.905187842
TUN;Tunisia;SSP2_TUN;10.481;11.475;12.206;12.596;12.743;12.616;12.204;11.663;11.138;10.645;4.8356015;5.56778731;6.18720926;6.63183495;6.93388264;7.06417937;7.00570485;6.84197526;6.65870764;6.46995998
TUR;Turkey;SSP2_TUR;72.752;81.012;87.769;92.749;95.88;97.028;96.682;95.03;92.527;89.679;33.820424;39.2218586;44.0948695;48.1846791;51.3388516;53.380241;54.492113;54.7249102;54.3074427;53.527109
TZA;Tanzania;SSP2_TZA;44.841;58.362;73.026;88.103;102.254;114.341;124.681;133.084;139.636;143.787;6.0180395;9.53351576;14.0935032;19.5466431;25.4628091;31.3157347;36.9338863;42.0640152;46.5776979;50.1734519
UGA;Uganda;SSP2_UGA;33.425;45.461;59.961;76.345;93.253;109.339;124.039;136.962;147.606;155.661;3.51752725;6.22101791;10.3747316;16.2159997;23.6109812;32.0994754;41.1916646;50.3639304;59.0402533;66.7421711
