Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP2_ABW;0.107;0.125;0.138;0.148;0.156;0.162;0.165;0.164;0.159;0.151;0.105105344;0.140023686;0.170836609;0.19781232;0.221304109;0.240873391;0.254749851;0.261079932;0.259591215;0.251783084
AFG;Afghanistan;SSP2_AFG;31.412;40.602;51.689;63.599;75.162;85.822;95.121;102.899;108.98;113.086;24.09642;38.0024367;57.58355;82.3275725;110.569598;140.653443;170.726102;199.338117;225.123127;246.625075
AGO;Angola;SSP2_AGO;19.082;25.239;31.855;38.164;43.976;48.856;52.598;55.142;56.598;56.892;15.82808;23.4225274;31.7993617;40.0409517;47.802907;54.5158089;59.8710697;63.7472352;66.241733;67.2520974
ALB;Albania;SSP2_ALB;3.204;3.271;3.301;3.274;3.201;3.095;2.942;2.741;2.524;2.319;2.158353;2.52859175;2.7926964;2.94545;3.00784044;3.00233986;2.92325174;2.77443281;2.59228894;2.40963908
ARE;United Arab Emirates;SSP2_ARE;7.512;11.043;13.359;15.357;16.915;17.963;18.299;17.97;17.282;16.327;6.974068;10.5584998;13.0914685;15.3619119;17.2124378;18.5403754;19.1111299;18.9517282;18.3740827;17.475236
ARG;Argentina;SSP2_ARG;40.412;43.57;46.155;48.142;49.377;49.834;49.664;48.902;47.83;46.575;36.653224;40.2407532;43.2326476;45.5872252;47.1507611;47.8958432;47.9693962;47.4138967;46.5097425;45.3904278
ARM;Armenia;SSP2_ARM;3.092;3.038;2.922;2.78;2.594;2.392;2.206;2.028;1.876;1.768;2.3738515;2.50338705;2.5489894;2.5399602;2.46160582;2.34218169;2.21723028;2.08360889;1.96363251;1.88019156
AUS;Australia;SSP2_AUS;22.268;25.987;29.562;32.858;36.033;38.929;41.124;42.531;43.055;42.577;18.294772;21.74434;25.1221732;28.2915435;31.3704759;34.2090339;36.4218922;37.9166292;38.5961547;38.3447009
AUT;Austria;SSP2_AUT;8.394;8.696;8.946;9.11;9.214;9.214;9.077;8.858;8.555;8.148;4.9900225;5.42736967;5.82461656;6.15370373;6.42650331;6.60837554;6.67051425;6.64957625;6.54280039;6.33406572
AZE;Azerbaijan;SSP2_AZE;9.188;10.132;10.628;10.93;10.993;10.84;10.57;10.153;9.713;9.292;6.88063;8.57131361;9.77560915;10.6658844;11.199924;11.4062335;11.4009148;11.165334;10.8475813;10.5075135
BDI;Burundi;SSP2_BDI;8.382;10.892;13.086;15.056;16.81;18.126;18.938;19.324;19.289;18.918;7.0871805;12.4564885;19.6232093;28.6120039;39.0938818;49.8919431;59.8690129;68.3800649;74.7938753;79.0153634
BEL;Belgium;SSP2_BEL;10.712;11.27;11.775;12.222;12.596;12.885;13.069;13.156;13.123;12.924;8.65629;9.13207481;9.56471969;9.94961237;10.2742431;10.5285721;10.6958349;10.7823162;10.7688783;10.6176918
BEN;Benin;SSP2_BEN;8.85;11.514;14.254;16.85;19.214;21.15;22.67;23.736;24.272;24.385;6.570404;9.8532907;13.6310123;17.5777432;21.4671369;24.9585937;27.9588421;30.3477757;31.9717111;32.9309347
BFA;Burkina Faso;SSP2_BFA;16.469;21.567;27.291;33.135;38.602;43.42;47.468;50.807;53.431;55.325;12.054728;20.3423012;31.448147;44.5740772;58.4673293;72.0360287;84.5081984;95.5976679;105.058075;112.712077
BGD;Bangladesh;SSP2_BGD;148.692;166.226;181.146;191.092;195.777;195.149;190.649;183.858;175.754;167.49;137.456704;187.627023;241.322264;291.543096;333.447092;363.377785;381.673358;390.526494;391.964535;388.969695
BGR;Bulgaria;SSP2_BGR;7.494;7.068;6.754;6.51;6.308;6.121;5.891;5.623;5.347;5.062;4.304936;4.27499821;4.25431776;4.23606328;4.21451031;4.17966912;4.09639911;3.97056835;3.82540962;3.66257145
BHR;Bahrain;SSP2_BHR;1.262;1.883;2.349;2.796;3.207;3.53;3.751;3.873;3.9;3.848;1.2392465;1.91363138;2.43588859;2.93799765;3.4013575;3.76975017;4.02700049;4.17540218;4.21872892;4.17412029
BHS;Bahamas;SSP2_BHS;0.343;0.387;0.426;0.456;0.478;0.493;0.497;0.491;0.479;0.462;0.283096438;0.335409392;0.379177358;0.412695748;0.437546266;0.454997481;0.461542538;0.458187203;0.448728494;0.434181215
BIH;Bosnia and Herzegovina;SSP2_BIH;3.76;3.718;3.633;3.492;3.301;3.087;2.852;2.608;2.385;2.194;2.69836175;2.99578692;3.20785528;3.31596533;3.32271328;3.25744012;3.128091;2.95351095;2.77436541;2.61070069
BLR;Belarus;SSP2_BLR;9.595;9.27;8.915;8.562;8.206;7.813;7.399;6.983;6.587;6.232;6.8645885;6.94425357;6.9422552;6.88862443;6.78604171;6.6121348;6.38479407;6.1252726;5.85803884;5.60703003
BLZ;Belize;SSP2_BLZ;0.312;0.365;0.403;0.431;0.448;0.456;0.458;0.456;0.452;0.449;0.234483125;0.307065643;0.367212089;0.416141076;0.451616411;0.475042388;0.489497912;0.497349867;0.501120598;0.504485485
BOL;Bolivia;SSP2_BOL;9.93;11.34;12.603;13.585;14.271;14.646;14.803;14.79;14.654;14.468;7.9598465;9.60986244;11.1970964;12.5652285;13.6611325;14.4387625;14.9669342;15.2830284;15.4298708;15.4844638
BRA;Brazil;SSP2_BRA;194.946;210.743;222.819;229.841;231.868;228.665;221.581;211.583;200.123;188.415;154.171632;170.8635;183.727376;191.832357;195.297912;193.966891;189.021045;181.323718;172.155627;162.600444
BRB;Barbados;SSP2_BRB;0.273;0.279;0.281;0.277;0.268;0.255;0.241;0.226;0.21;0.195;0.236943375;0.27861868;0.311855215;0.333042104;0.342678487;0.342111718;0.335906865;0.324840648;0.3095363;0.293485582
BRN;Brunei;SSP2_BRN;0.399;0.466;0.527;0.58;0.627;0.664;0.683;0.683;0.671;0.648;0.3192995;0.393175356;0.463512119;0.527225705;0.585196714;0.633074747;0.662575816;0.672047274;0.667997465;0.651372145
BTN;Bhutan;SSP2_BTN;0.726;0.869;1.006;1.129;1.239;1.321;1.364;1.371;1.347;1.305;0.135147969;0.197498961;0.264711311;0.330739116;0.392954581;0.444695094;0.480584167;0.500485623;0.505697073;0.501072422
BWA;Botswana;SSP2_BWA;2.007;2.242;2.428;2.589;2.736;2.872;2.954;2.957;2.89;2.762;1.53331362;1.87633436;2.17081448;2.43152748;2.66805763;2.88430635;3.03727748;3.09911765;3.07722064;2.9802426
CAF;Central African Republic;SSP2_CAF;4.401;5.259;6.097;6.834;7.414;7.825;8.052;8.111;8.042;7.886;2.8572155;3.94116008;5.13247445;6.31911437;7.39653238;8.30436411;8.98958834;9.44326551;9.69662812;9.79342184
CAN;Canada;SSP2_CAN;34.017;37.764;41.384;44.54;47.585;50.465;52.762;54.322;54.945;54.424;26.091234;30.1409656;34.1071731;37.673558;41.1069787;44.3495254;47.0230458;48.9728166;50.0041087;49.9153701
CHE;Switzerland;SSP2_CHE;7.664;8.101;8.519;8.879;9.172;9.384;9.467;9.45;9.322;9.041;5.995676;6.66517309;7.3039191;7.87457632;8.3650251;8.75939671;9.00959585;9.14062641;9.14093331;8.96828179
CHL;Chile;SSP2_CHL;17.114;18.567;19.686;20.338;20.534;20.369;19.917;19.232;18.354;17.371;14.905082;16.5965895;17.9595644;18.8523074;19.2710881;19.3006039;19.0128304;18.4643139;17.6993072;16.8083144
CHN;China;SSP2_CHN;1341.335;1379.229;1380.651;1339.587;1263.138;1163.794;1057.146;951.828;852.319;767.275;1079.41709;1292.2298;1441.61614;1512.97975;1512.08067;1456.04605;1368.72636;1266.28154;1159.02265;1062.29855
CIV;Côte dIvoire;SSP2_CIV;19.738;23.152;26.179;28.757;30.619;31.801;32.563;32.912;32.904;32.655;13.388645;17.7177553;21.8942822;25.7023333;28.789075;31.1039767;32.8619163;34.063647;34.7674013;35.1031749
CMR;Cameroon;SSP2_CMR;19.599;23.654;27.315;30.621;33.156;34.971;36.069;36.583;36.47;35.925;16.45245;22.1332409;27.4400621;32.2960893;36.2075345;39.1849374;41.2142371;42.4436568;42.8273716;42.6010207
COD;Democratic Republic of the Congo;SSP2_COD;65.966;85.771;107.35;127.427;145.719;160.929;172.54;180.711;185.387;187.015;47.482832;72.9230287;104.427566;138.126118;172.291484;204.08631;231.622809;254.170878;271.008458;282.351718
COG;Republic of Congo;SSP2_COG;4.043;5.077;6.08;7.032;7.823;8.454;8.902;9.172;9.242;9.153;3.3677365;4.59387604;5.8566542;7.10833598;8.21318714;9.14886482;9.87410002;10.3827921;10.6416071;10.6921812
COL;Colombia;SSP2_COL;46.295;52.233;57.328;61.225;63.9;65.297;65.588;64.912;63.408;61.436;41.554376;49.5173542;56.5847765;62.3118843;66.6052207;69.3667521;70.757321;70.9213697;70.0150544;68.4457981
COM;Comoros;SSP2_COM;0.735;0.901;1.048;1.187;1.287;1.353;1.4;1.424;1.425;1.412;0.590535563;0.888129329;1.21430618;1.56031784;1.86618694;2.11798849;2.32754745;2.48344236;2.58253872;2.6401101
CPV;Cape Verde;SSP2_CPV;0.496;0.533;0.559;0.572;0.573;0.561;0.546;0.529;0.513;0.502;0.384718563;0.449866862;0.503246766;0.541386187;0.564216878;0.570229619;0.569548061;0.563770555;0.556625959;0.553046634
CRI;Costa Rica;SSP2_CRI;4.659;5.326;5.911;6.387;6.736;6.965;7.038;6.949;6.739;6.455;3.61158075;4.4337713;5.20750335;5.88871471;6.44418305;6.8685269;7.11752653;7.17745714;7.08592759;6.89147386
CUB;Cuba;SSP2_CUB;11.258;11.083;10.695;10.056;9.192;8.157;7.138;6.286;5.568;4.96;9.242997;9.56175454;9.59154862;9.30032169;8.71463517;7.89131866;7.02174289;6.27020057;5.61933287;5.05553094
CYP;Cyprus;SSP2_CYP;1.104;1.248;1.377;1.484;1.579;1.65;1.674;1.653;1.601;1.533;0.781232062;0.931495676;1.07156789;1.19385587;1.30493727;1.39413238;1.44072357;1.44493996;1.4181739;1.37350474
CZE;Czech Republic;SSP2_CZE;10.493;10.972;11.292;11.478;11.704;11.841;11.719;11.46;11.183;10.856;6.369478;7.00520348;7.51299116;7.8997467;8.2837672;8.57757615;8.65528675;8.60267087;8.51039568;8.35769368
DEU;Germany;SSP2_DEU;82.302;81.91;81.357;80.367;78.932;77.069;74.934;72.604;69.827;66.528;58.890924;61.6255148;63.7769357;65.1664297;65.8161797;65.7704279;65.1965225;64.1999032;62.5900683;60.320135
DJI;Djibouti;SSP2_DJI;0.889;1.045;1.182;1.294;1.378;1.427;1.447;1.444;1.425;1.395;0.82526075;1.01318813;1.19350084;1.35532716;1.49009064;1.58509305;1.64295433;1.66835001;1.66881713;1.65058614
DNK;Denmark;SSP2_DNK;5.55;5.806;6.087;6.338;6.574;6.825;7.047;7.225;7.354;7.426;3.534115;3.78369972;4.02621482;4.2353999;4.4257335;4.6203271;4.79107145;4.92871951;5.03025134;5.09060558
DOM;Dominican Republic;SSP2_DOM;9.927;11.066;12.006;12.696;13.132;13.295;13.263;13.082;12.772;12.395;8.600229;10.1788672;11.5580076;12.6626655;13.4708241;13.9515343;14.1803783;14.2062201;14.0531939;13.7925109
DZA;Algeria;SSP2_DZA;35.468;40.528;44.519;47.437;49.525;50.132;49.609;48.487;47.08;45.601;29.31567;35.6177409;41.1809289;45.800554;49.5672376;51.7182392;52.5075189;52.4487822;51.8800947;51.0540343
ECU;Ecuador;SSP2_ECU;14.465;16.347;17.974;19.24;20.089;20.508;20.611;20.447;20.032;19.452;11.781136;14.0772204;16.2394898;18.1159534;19.5981981;20.6262066;21.2799404;21.5912073;21.566549;21.294013
EGY;Egypt;SSP2_EGY;81.121;94.75;106.685;116.868;124.861;130.529;133.778;134.519;133.577;131.239;77.74152;103.945516;130.350669;155.602192;178.091185;196.827978;211.096975;220.36613;225.760082;227.714378
ERI;Eritrea;SSP2_ERI;5.254;6.926;8.539;10.193;11.634;12.791;13.686;14.252;14.472;14.393;4.7372595;7.67165582;11.3255677;15.7908606;20.5687484;25.279877;29.7000807;33.4499409;36.2752173;38.1317405
ESP;Spain;SSP2_ESP;46.077;48.769;50.208;51.675;52.76;52.845;52.081;50.965;49.602;47.759;36.411052;40.1710645;42.8424824;45.4317585;47.5686249;48.662859;48.8149121;48.4781468;47.7640631;46.4603985
EST;Estonia;SSP2_EST;1.341;1.325;1.297;1.273;1.259;1.241;1.216;1.19;1.162;1.133;0.867987188;0.899360279;0.916611519;0.931145017;0.948440866;0.958867668;0.960324938;0.957771223;0.950778669;0.940485164
ETH;Ethiopia;SSP2_ETH;82.95;103.021;123.971;142.61;158.829;172.13;181.728;187.822;190.76;191.006;75.719528;118.012686;174.45769;241.098286;315.413539;392.951766;467.483608;534.808101;591.982229;637.483328
FIN;Finland;SSP2_FIN;5.365;5.617;5.845;6.012;6.176;6.366;6.541;6.684;6.786;6.824;3.23334475;3.47242501;3.68975532;3.86147656;4.02446652;4.19873078;4.35835036;4.49216887;4.59422125;4.64880254
FJI;Fiji;SSP2_FJI;0.861;0.925;0.96;0.975;0.97;0.947;0.92;0.891;0.86;0.828;0.334540031;0.406705735;0.458905428;0.494111669;0.512718471;0.516461183;0.513805501;0.506881684;0.496436695;0.483584972
FRA;France;SSP2_FRA;62.787;66.609;70.324;73.707;76.504;78.866;80.865;82.44;83.226;82.97;39.469708;42.9686075;46.2860671;49.2931735;51.8299656;54.0018348;55.8637373;57.3797521;58.2974953;58.4375387
FSM;Micronesia;SSP2_FSM;0.111;0.114;0.115;0.112;0.107;0.101;0.095;0.09;0.087;0.085;0.0120065029;0.0149987393;0.017978972;0.0203377629;0.0220920698;0.0232587218;0.0239944825;0.0245756941;0.0253750958;0.0262149233
GAB;Gabon;SSP2_GAB;1.505;1.759;1.982;2.158;2.288;2.375;2.415;2.41;2.37;2.304;1.21781875;1.46850282;1.67861187;1.84188;1.96168175;2.04194786;2.07997305;2.07800155;2.04500548;1.98898783
GBR;United Kingdom;SSP2_GBR;62.036;66.209;70.037;73.396;76.592;79.367;81.528;83.235;84.308;84.724;53.314048;59.5932479;65.0574789;69.7403642;74.0244214;77.7238945;80.6821254;83.077417;84.7461247;85.6726318
GEO;Georgia;SSP2_GEO;4.352;4.134;3.842;3.543;3.226;2.912;2.645;2.419;2.238;2.11;3.0153555;3.18529452;3.20532343;3.14026223;2.99655075;2.80682302;2.62631998;2.46079545;2.32270478;2.22688908
GHA;Ghana;SSP2_GHA;24.392;30.161;35.931;41.5;46.376;50.26;53.389;55.682;57.046;57.597;19.229636;26.6977405;34.6124755;42.574328;49.9085372;56.1345429;61.4070269;65.5778282;68.4966085;70.2768222
GIN;Guinea;SSP2_GIN;9.982;11.778;13.356;14.613;15.48;15.937;16.255;16.47;16.556;16.576;6.3215985;8.77990334;11.3742003;13.863164;16.0272397;17.714306;19.1469508;20.3497114;21.2847169;22.0318204
GLP;Guadeloupe;SSP2_GLP;0.461;0.484;0.503;0.515;0.518;0.516;0.512;0.509;0.506;0.501;0.347101844;0.369377803;0.384289963;0.39364705;0.396051112;0.394589073;0.391577251;0.389317903;0.387050399;0.383244956
GMB;Gambia;SSP2_GMB;1.728;2.185;2.601;2.976;3.273;3.482;3.64;3.749;3.814;3.838;1.28447537;1.81570245;2.32268373;2.79055509;3.17707741;3.46688242;3.69450459;3.86211865;3.9754948;4.03833778
GNB;Guinea-Bissau;SSP2_GNB;1.515;1.811;2.074;2.307;2.488;2.61;2.684;2.713;2.693;2.649;0.9403085;1.33843071;1.78396481;2.26027616;2.72279857;3.13593924;3.48847573;3.76682442;3.9525903;4.0743279
GNQ;Equatorial Guinea;SSP2_GNQ;0.7;0.901;1.097;1.28;1.443;1.583;1.689;1.757;1.785;1.774;0.533802125;0.791590037;1.07752842;1.37278309;1.65923993;1.92447968;2.14791233;2.31814968;2.42784573;2.4749671
