Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP3_ABW;0.107;0.123;0.132;0.138;0.144;0.15;0.157;0.163;0.168;0.172;0.105105344;0.128519048;0.143920249;0.15499393;0.165154978;0.174620424;0.184727068;0.19326582;0.200306781;0.205901441
AFG;Afghanistan;SSP3_AFG;31.412;41.886;56.29;72.827;91.579;111.268;130.67;149.558;167.054;181.926;24.09642;35.1679341;51.3390008;71.6274268;96.4646415;124.71977;154.93883;186.573921;218.16446;247.596395
AGO;Angola;SSP3_AGO;19.082;25.492;33.357;41.337;49.523;57.25;64.069;70.116;75.26;79.305;15.82808;22.1790752;30.1054494;38.3871419;47.0365769;55.3618366;62.8606837;69.6098068;75.4411943;80.1323412
ALB;Albania;SSP3_ALB;3.204;3.337;3.484;3.552;3.579;3.599;3.574;3.528;3.513;3.533;2.158353;2.36889528;2.58939707;2.74848754;2.86942075;2.97732193;3.03993774;3.07594053;3.13119868;3.21192759
ARE;United Arab Emirates;SSP3_ARE;7.512;10.55;12.166;13.488;14.535;15.274;15.735;16.122;16.47;16.531;6.974068;10.0871297;11.9223598;13.4923141;14.7905872;15.7649443;16.4333367;17.0027692;17.5107709;17.6935828
ARG;Argentina;SSP3_ARG;40.412;44.244;48.338;52.239;56.052;59.659;63.018;66.388;69.991;73.854;36.653224;40.8632519;45.2774286;49.4668077;53.5248083;57.3387267;60.8677393;64.3677921;68.0590297;71.9756234
ARM;Armenia;SSP3_ARM;3.092;3.102;3.103;3.081;3.035;2.98;2.936;2.909;2.924;2.984;2.3738515;2.49424072;2.56166196;2.58370281;2.56973851;2.53835323;2.51039042;2.49332348;2.51006195;2.56410195
AUS;Australia;SSP3_AUS;22.268;25.14;26.836;27.898;28.462;28.436;27.774;26.562;24.896;22.921;18.294772;21.0356219;22.8055828;24.0208619;24.7791326;24.988263;24.5983278;23.6801746;22.3177301;20.6425744
AUT;Austria;SSP3_AUT;8.394;8.523;8.402;8.114;7.681;7.101;6.45;5.786;5.118;4.481;4.9900225;5.1624142;5.14102897;4.99294034;4.74150012;4.39140089;3.99295296;3.5839831;3.17128929;2.77709475
AZE;Azerbaijan;SSP3_AZE;9.188;10.189;10.767;11.186;11.453;11.58;11.711;11.877;12.148;12.471;6.88063;7.87826899;8.58929299;9.19970601;9.70270616;10.0971854;10.5006999;10.9413924;11.4870991;12.0930362
BDI;Burundi;SSP3_BDI;8.382;10.826;12.93;14.847;16.742;18.295;19.492;20.5;21.149;21.461;7.0871805;11.6045427;16.601206;21.7446247;26.9061103;31.3483811;34.8843527;37.7788629;39.7438816;40.8564776
BEL;Belgium;SSP3_BEL;10.712;11.024;11.005;10.814;10.434;9.9;9.283;8.62;7.902;7.135;8.65629;8.93274114;8.93925606;8.80339619;8.51075364;8.08947334;7.59732462;7.06472829;6.4844682;5.86174801
BEN;Benin;SSP3_BEN;8.85;11.632;14.673;17.736;20.683;23.382;25.737;27.747;29.337;30.586;6.570404;8.7557656;11.2168611;13.7942175;16.3985198;18.940157;21.3499677;23.6332306;25.7262175;27.6953595
