Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP1_ABW;0.107;0.124;0.135;0.143;0.148;0.149;0.146;0.14;0.129;0.114;0.105105344;0.158751094;0.198870864;0.231956614;0.256928086;0.271726125;0.276221465;0.272412746;0.256575917;0.230727377
AFG;Afghanistan;SSP1_AFG;31.412;39.535;47.674;55.001;60.68;64.557;66.94;67.824;67.261;65.377;24.09642;42.0427034;65.8118745;92.8181124;119.134451;141.95791;160.303695;173.316676;180.711039;182.683763
AGO;Angola;SSP1_AGO;19.082;24.583;29.851;34.507;38.247;40.97;42.671;43.296;42.885;41.536;15.82808;23.1420657;31.1760562;39.1287999;46.1922473;51.8601855;55.8882049;58.1039331;58.5458836;57.3826672
ALB;Albania;SSP1_ALB;3.204;3.245;3.226;3.161;3.052;2.899;2.703;2.459;2.148;1.81;2.158353;2.58302759;2.91022092;3.12891933;3.23556835;3.23343898;3.13061534;2.92913012;2.61299792;2.23680174
ARE;United Arab Emirates;SSP1_ARE;7.512;10.949;13.059;14.798;15.935;16.389;16.113;15.162;13.844;12.242;6.974068;10.468624;12.7974763;14.8027331;16.2152052;16.9157831;16.8281128;15.9903229;14.7188289;13.1029485
ARG;Argentina;SSP1_ARG;40.412;43.044;44.611;45.367;45.173;44.177;42.562;40.356;37.319;33.709;36.653224;39.7549456;41.7864075;42.9594875;43.136305;42.4588567;41.1097261;39.1279541;36.288879;32.8516572
ARM;Armenia;SSP1_ARM;3.092;3.016;2.863;2.684;2.46;2.218;1.993;1.771;1.555;1.348;2.3738515;2.60624429;2.67126586;2.63866152;2.51027202;2.32662192;2.13505857;1.92875289;1.71597915;1.50357544
AUS;Australia;SSP1_AUS;22.268;26.044;29.722;33.215;36.592;39.637;41.83;42.94;42.699;41.441;18.294772;21.7920341;25.2581432;28.5989293;31.8571436;34.8311921;37.0471683;38.281255;38.2770226;37.3216232
AUT;Austria;SSP1_AUT;8.394;8.734;9.057;9.323;9.542;9.656;9.558;9.278;8.805;8.21;4.9900225;5.661991;6.25985341;6.76194951;7.18084726;7.4780535;7.57147442;7.48348972;7.20619279;6.79935676
AZE;Azerbaijan;SSP1_AZE;9.188;10.023;10.368;10.495;10.328;9.925;9.381;8.657;7.837;7.06;6.88063;8.75314513;10.1771199;11.253882;11.8412259;11.9731423;11.7662775;11.1886353;10.3669557;9.50975453
