Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP5_ABW;0.107;0.127;0.143;0.157;0.166;0.17;0.17;0.164;0.152;0.135;0.0405554727;0.0627369545;0.0812826959;0.0982641372;0.111194325;0.11962411;0.124101823;0.123131142;0.116652604;0.105427211
AFG;Afghanistan;SSP5_AFG;31.412;39.247;46.594;52.874;57.179;59.474;60.457;60.347;59.335;57.594;0.800410437;1.38635858;2.13654913;2.96390672;3.72896728;4.3441381;4.80910919;5.12239253;5.29532389;5.34579649
AGO;Angola;SSP5_AGO;19.082;24.635;30.014;34.785;38.646;41.474;43.245;43.903;43.488;42.105;7.8957655;11.5687334;15.6369546;19.6764768;23.2831786;26.1884642;28.2546054;29.3912434;29.6159993;29.0172156
ALB;Albania;SSP5_ALB;3.204;3.216;3.148;3.053;2.935;2.78;2.58;2.334;2.028;1.701;1.19328087;1.41530679;1.57006099;1.67077081;1.72026107;1.7142788;1.65205147;1.53709671;1.36393271;1.1621801
ARE;United Arab Emirates;SSP5_ARE;7.512;11.538;14.458;16.95;18.642;19.497;19.477;18.581;17.144;15.227;1.83491325;2.90251879;3.72779476;4.4610588;4.99105372;5.29464449;5.35193007;5.15583707;4.79571299;4.28805517
ARG;Argentina;SSP5_ARG;40.412;42.93;44.252;44.756;44.322;43.103;41.318;39.014;35.961;32.414;24.049284;26.0153336;27.1966837;27.8073924;27.7698368;27.1812574;26.1849541;24.8192971;22.9437966;20.7268837
ARM;Armenia;SSP5_ARM;3.092;2.973;2.744;2.495;2.213;1.924;1.668;1.437;1.229;1.045;1.19750775;1.29599545;1.29153047;1.23736124;1.13917875;1.01810865;0.901411982;0.789477181;0.68416095;0.587998757
AUS;Australia;SSP5_AUS;22.268;26.845;32.34;38.025;44.222;50.657;56.427;61.201;64.492;66.449;15.595779;19.1484472;23.4284458;27.9103197;32.8200423;37.9478434;42.6024118;46.5117539;49.2840468;51.0151089
AUT;Austria;SSP5_AUT;8.394;8.869;9.497;10.136;10.836;11.535;12.034;12.343;12.439;12.354;3.5050205;4.0384871;4.61056652;5.16381767;5.72787236;6.27475781;6.69593916;6.99292042;7.15072445;7.18654794
AZE;Azerbaijan;SSP5_AZE;9.188;10.051;10.459;10.655;10.548;10.196;9.684;8.966;8.134;7.332;3.22407425;4.11294122;4.81057396;5.35365274;5.66666304;5.76347329;5.69143212;5.42981792;5.04176261;4.6276861
