Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP3_ABW;0.107;0.123;0.132;0.138;0.144;0.15;0.157;0.163;0.168;0.172;0.0405554727;0.0495897786;0.0555324165;0.0598052568;0.0637259529;0.0673782472;0.0712779512;0.0745726754;0.0772894686;0.0794481989
AFG;Afghanistan;SSP3_AFG;31.412;41.886;56.29;72.827;91.579;111.268;130.67;149.558;167.054;181.926;0.800410437;1.16817276;1.70532685;2.37924721;3.20426461;4.14281483;5.14660088;6.19742327;7.24676575;8.22440589
AGO;Angola;SSP3_AGO;19.082;25.492;33.357;41.337;49.523;57.25;64.069;70.116;75.26;79.305;7.8957655;11.0639305;15.0179661;19.1492506;23.4639818;27.6169996;31.3577653;34.7245345;37.6334956;39.9736529
ALB;Albania;SSP3_ALB;3.204;3.337;3.484;3.552;3.579;3.599;3.574;3.528;3.513;3.533;1.19328087;1.30968263;1.43159066;1.51954644;1.58640635;1.64606129;1.68067946;1.7005842;1.73113457;1.77576688
ARE;United Arab Emirates;SSP3_ARE;7.512;10.55;12.166;13.488;14.535;15.274;15.735;16.122;16.47;16.531;1.83491325;2.65397584;3.13683435;3.54989741;3.89147977;4.14783812;4.32369563;4.47351624;4.60717411;4.65527287
ARG;Argentina;SSP3_ARG;40.412;44.244;48.338;52.239;56.052;59.659;63.018;66.388;69.991;73.854;24.049284;26.8116101;29.7078843;32.4566621;35.1192385;37.6216653;39.9371567;42.2336467;44.6555788;47.2253739
ARM;Armenia;SSP3_ARM;3.092;3.102;3.103;3.081;3.035;2.98;2.936;2.909;2.924;2.984;1.19750775;1.25823903;1.29225019;1.30336887;1.29632447;1.28049192;1.26638586;1.25777631;1.26622016;1.29348106
AUS;Australia;SSP3_AUS;22.268;25.14;26.836;27.898;28.462;28.436;27.774;26.562;24.896;22.921;15.595779;17.9322765;19.4411184;20.4771097;21.1235142;21.3017919;20.9693832;20.1866834;19.0252377;17.5972146
AUT;Austria;SSP3_AUT;8.394;8.523;8.402;8.114;7.681;7.101;6.45;5.786;5.118;4.481;3.5050205;3.62610942;3.61108831;3.50707001;3.33045695;3.08454524;2.80467312;2.51741034;2.22753183;1.95064732
AZE;Azerbaijan;SSP3_AZE;9.188;10.189;10.767;11.186;11.453;11.58;11.711;11.877;12.148;12.471;3.22407425;3.69154048;4.0247068;4.31072958;4.54642164;4.73126378;4.92033958;5.12683596;5.38253918;5.66646462
BDI;Burundi;SSP3_BDI;8.382;10.826;12.93;14.847;16.742;18.295;19.492;20.5;21.149;21.461;1.10766388;1.81368779;2.59462225;3.39849327;4.20518801;4.89947579;5.452117;5.90450344;6.21161855;6.38550751
BEL;Belgium;SSP3_BEL;10.712;11.024;11.005;10.814;10.434;9.9;9.283;8.62;7.902;7.135;5.417799;5.59082425;5.59490181;5.50986982;5.3267107;5.06303977;4.75501372;4.42167231;4.05849912;3.66875099
BEN;Benin;SSP3_BEN;8.85;11.632;14.673;17.736;20.683;23.382;25.737;27.747;29.337;30.586;2.92669175;3.90012957;4.9963891;6.14443536;7.30448427;8.43661993;9.51003535;10.5270819;11.4593728;12.3364987
BFA;Burkina Faso;SSP3_BFA;16.469;22.244;29.585;38.011;47.054;56.105;64.725;72.794;80.157;86.731;3.63988175;5.79541619;8.74168787;12.351768;16.4246382;20.6676286;24.8319941;28.8007309;32.4655736;35.7609726
BGD;Bangladesh;SSP3_BGD;148.692;168.989;190.251;207.6;221.609;231.585;238.605;245.085;252.437;261.496;12.632638;15.6706415;19.1211816;22.4616137;25.6476503;28.5000438;31.0518689;33.5576994;36.1980507;39.1038965
BGR;Bulgaria;SSP3_BGR;7.494;7.1;6.782;6.528;6.381;6.298;6.274;6.347;6.477;6.612;2.79387825;2.7069239;2.62736597;2.5586645;2.52282007;2.50623684;2.50902663;2.54782301;2.60754349;2.66782588
BHR;Bahrain;SSP3_BHR;1.262;1.807;2.157;2.498;2.843;3.153;3.457;3.782;4.088;4.32;0.936190938;1.38730786;1.68978434;1.98295767;2.27791184;2.54371568;2.80375931;3.08020111;3.34067811;3.5401395
BHS;Bahamas;SSP3_BHS;0.343;0.387;0.425;0.454;0.48;0.504;0.525;0.544;0.566;0.588;0.114400227;0.135540068;0.152867164;0.166040291;0.177553731;0.187968506;0.197018555;0.205141177;0.214267867;0.223305213
BIH;Bosnia and Herzegovina;SSP3_BIH;3.76;3.73;3.656;3.514;3.346;3.18;3.016;2.888;2.813;2.772;0.69331675;0.718919965;0.73273424;0.729035607;0.715766223;0.699009295;0.679213202;0.664614602;0.660028653;0.661825376
BLR;Belarus;SSP3_BLR;9.595;9.315;9.022;8.71;8.464;8.243;8.084;8.049;8.104;8.208;3.38156375;3.33689859;3.27744289;3.20252666;3.14494316;3.09106284;3.05604085;3.06460851;3.10516487;3.16286731
BLZ;Belize;SSP3_BLZ;0.312;0.375;0.441;0.502;0.563;0.62;0.675;0.73;0.788;0.85;0.0392043906;0.0479792212;0.0576601927;0.0673562311;0.0778887444;0.0889026955;0.100868645;0.114301696;0.129900393;0.148025861
