Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
BOL;Bolivia;SSP3_BOL;9.93;11.784;13.998;16.211;18.434;20.569;22.608;24.59;26.595;28.64;2.9506845;3.58205378;4.31293763;5.03604853;5.75594143;6.44306867;7.09590196;7.7277586;8.36450885;9.01229466
BRA;Brazil;SSP3_BRA;194.946;213.252;230.452;243.654;253.654;259.958;263.731;266.806;270.692;276.286;85.785272;96.2049716;105.732961;113.15563;118.879443;122.69853;125.183499;127.226535;129.571027;132.670203
BRB;Barbados;SSP3_BRB;0.273;0.279;0.283;0.28;0.272;0.263;0.256;0.25;0.248;0.249;0.103613258;0.111626831;0.118074842;0.120802107;0.120547291;0.11911302;0.117996535;0.116888884;0.117312655;0.118914158
BRN;Brunei;SSP3_BRN;0.399;0.462;0.517;0.568;0.612;0.652;0.685;0.715;0.745;0.775;0.155103016;0.182557932;0.207866637;0.232554107;0.255304645;0.277220793;0.296855274;0.315723374;0.33499195;0.354526456
BTN;Bhutan;SSP3_BTN;0.726;0.87;1.011;1.146;1.285;1.415;1.528;1.633;1.734;1.83;0;0;0;0;0;0;0;0;0;0
BWA;Botswana;SSP3_BWA;2.007;2.186;2.302;2.387;2.466;2.532;2.589;2.649;2.726;2.809;0.505067719;0.576245231;0.624411104;0.659356443;0.689289179;0.71331349;0.733208161;0.75286091;0.776607494;0.801559904
CAF;Central African Republic;SSP3_CAF;4.401;5.329;6.319;7.232;8.074;8.78;9.339;9.775;10.11;10.333;1.24740487;1.56434634;1.91898405;2.26941265;2.61519873;2.9321887;3.21219852;3.45920459;3.67716605;3.85890042
CAN;Canada;SSP3_CAN;34.017;36.669;37.812;37.963;37.456;36.445;34.945;32.941;30.511;27.846;19.258224;21.602293;23.001943;23.7011034;23.8829789;23.6405877;22.9877341;21.9198574;20.4953608;18.8507342
CHE;Switzerland;SSP3_CHE;7.664;7.944;7.998;7.885;7.623;7.231;6.76;6.266;5.75;5.223;3.46904375;3.66259713;3.74359975;3.73724682;3.6512166;3.49431199;3.2914346;3.07070801;2.8335338;2.58626142
CHL;Chile;SSP3_CHL;17.114;18.743;20.199;21.231;21.971;22.514;22.941;23.334;23.768;24.33;8.776738;9.86540648;10.8509297;11.5884536;12.1417495;12.5618214;12.8953745;13.191576;13.4963689;13.8624571
CHN;China;SSP3_CHN;1341.335;1385.689;1398.879;1368.545;1307.465;1231.334;1157.454;1094.03;1050.266;1027.984;389.310528;437.464371;468.528782;478.138428;470.998159;453.66535;433.628587;415.033956;402.209861;396.510736
CIV;Côte dIvoire;SSP3_CIV;19.738;24.164;29.338;34.467;39.491;44.056;48.133;51.841;55.182;58.171;8.650734;11.0555563;13.9596239;16.9985448;20.1246512;23.1341823;25.9789194;28.6943002;31.2591517;33.6618128
CMR;Cameroon;SSP3_CMR;19.599;24.176;28.849;33.319;37.387;40.85;43.763;46.217;48.275;50.031;9.094621;11.7579472;14.5620299;17.3272079;19.9180661;22.1976356;24.172456;25.8779101;27.3405645;28.6093901
COD;Democratic Republic of the Congo;SSP3_COD;65.966;88.115;113.384;138.748;163.27;185.095;203.883;219.858;232.949;243.26;21.93448;30.1046046;39.8693297;50.3024513;61.1412701;71.7311893;81.9266389;91.7854941;101.233781;110.255352
COG;Republic of Congo;SSP3_COG;4.043;5.141;6.287;7.43;8.538;9.58;10.523;11.363;12.075;12.665;2.26473425;2.98600104;3.74380543;4.50276675;5.23953175;5.93262509;6.56005896;7.11845277;7.59193106;7.98423934
COL;Colombia;SSP3_COL;46.295;53.123;60.051;66.346;72.164;77.408;82.097;86.361;90.438;94.553;22.595962;26.16348;29.9015828;33.4734913;36.9779647;40.3832542;43.7053871;47.0045936;50.3896236;53.9487799
COM;Comoros;SSP3_COM;0.735;0.943;1.185;1.445;1.703;1.95;2.19;2.413;2.62;2.816;0.0651482539;0.0925243931;0.125840726;0.163156213;0.201620458;0.239477645;0.276684749;0.311618719;0.344158822;0.374819177
CPV;Cape Verde;SSP3_CPV;0.496;0.552;0.621;0.683;0.741;0.791;0.837;0.882;0.932;0.992;0.0464733477;0.0541349534;0.0628172377;0.0705962886;0.0777766796;0.0839492342;0.089553996;0.0949328371;0.100760512;0.107600227
CRI;Costa Rica;SSP3_CRI;4.659;5.362;6.01;6.574;7.093;7.576;8;8.385;8.78;9.199;1.87693925;2.25384568;2.58651259;2.86825714;3.12002779;3.34902273;3.54716166;3.72479085;3.90476066;4.09403808
CUB;Cuba;SSP3_CUB;11.258;11.257;11.176;10.812;10.242;9.549;8.943;8.532;8.258;8.116;3.29824825;3.32377776;3.32810965;3.24973691;3.10944641;2.93047823;2.77623318;2.68100836;2.62813211;2.61729849
CYP;Cyprus;SSP3_CYP;1.104;1.235;1.335;1.41;1.486;1.553;1.594;1.631;1.673;1.707;0.441694781;0.501413626;0.548492869;0.584946681;0.62141321;0.653716529;0.674666093;0.69348153;0.714071244;0.730933452
CZE;Czech Republic;SSP3_CZE;10.493;10.734;10.546;10.133;9.676;9.055;8.222;7.402;6.678;5.96;4.200169;4.37656267;4.36540505;4.24739574;4.09870791;3.86985992;3.54048605;3.20805305;2.91044387;2.61004296
DEU;Germany;SSP3_DEU;82.302;80.559;76.961;72.288;66.551;60.264;54.297;48.534;42.921;37.647;41.014024;40.8863722;39.6533487;37.7158756;35.0908792;32.0609535;29.1077639;26.1892705;23.2919513;20.5305094
DJI;Djibouti;SSP3_DJI;0.889;1.048;1.206;1.342;1.463;1.56;1.63;1.686;1.734;1.773;0;0;0;0;0;0;0;0;0;0
DNK;Denmark;SSP3_DNK;5.55;5.686;5.694;5.608;5.454;5.258;5.027;4.756;4.436;4.091;2.75833275;2.89209441;2.93952449;2.92493467;2.86573924;2.778156;2.6674927;2.5322354;2.36822835;2.18881957
DOM;Dominican Republic;SSP3_DOM;9.927;11.333;12.868;14.308;15.699;16.969;18.13;19.215;20.248;21.286;4.5202945;5.23616038;6.00779535;6.73114417;7.42686753;8.0609618;8.63897566;9.17697473;9.68698885;10.1967557
DZA;Algeria;SSP3_DZA;35.468;41.26;46.828;51.57;56.114;59.781;62.663;65.84;69.44;73.064;12.909974;15.581013;18.0455886;20.1055614;22.0276337;23.5636521;24.7613797;26.0560589;27.5062189;28.9581367
ECU;Ecuador;SSP3_ECU;14.465;16.812;19.344;21.752;24.063;26.19;28.205;30.191;32.167;34.134;5.3802225;6.42990583;7.51221353;8.52095493;9.47370775;10.341528;11.1564565;11.9542614;12.7445309;13.5285953
EGY;Egypt;SSP3_EGY;81.121;96.216;111.658;126.579;141.264;154.858;166.938;178.014;188.373;197.768;39.46228;47.5527656;56.1395448;64.8332793;73.816291;82.6849183;91.2249223;99.7276565;108.377097;117.058539
ERI;Eritrea;SSP3_ERI;5.254;6.85;8.526;10.29;12.003;13.6;15.101;16.434;17.585;18.563;0.03396375;0.0483011791;0.0655930674;0.086380957;0.109938084;0.135867993;0.164449547;0.194903397;0.226814184;0.259911154
ESP;Spain;SSP3_ESP;46.077;47.697;47.158;46.174;44.261;41.108;37.441;34.057;31.095;28.173;21.99396;22.9531481;22.8889206;22.6132236;21.8799911;20.5193424;18.8766662;17.3474073;16.0051318;14.6552475
EST;Estonia;SSP3_EST;1.341;1.308;1.242;1.167;1.092;1.006;0.913;0.824;0.742;0.661;0.337698563;0.333213718;0.319073834;0.30166698;0.28357374;0.262134235;0.238509964;0.215671915;0.194489081;0.173447039
ETH;Ethiopia;SSP3_ETH;82.95;104.814;130.99;157.43;184.87;211.664;235.322;256.88;276.005;292.715;4.526764;6.52465523;9.1001638;11.9708939;15.1310246;18.3854617;21.4409103;24.3171997;26.9376614;29.2703527
FIN;Finland;SSP3_FIN;5.365;5.508;5.491;5.356;5.168;4.964;4.732;4.461;4.159;3.837;1.18582625;1.2487958;1.27125754;1.26166497;1.23507287;1.20074895;1.15635657;1.09956499;1.03265682;0.958656294
FJI;Fiji;SSP3_FJI;0.861;0.934;1.009;1.07;1.119;1.161;1.201;1.244;1.289;1.334;0.0260883223;0.0293190344;0.0327604083;0.03587687;0.0386868283;0.0413252618;0.0439496345;0.0467362355;0.0496506491;0.0526146578
FRA;France;SSP3_FRA;62.787;65.447;66.506;66.527;65.334;63.195;60.569;57.523;53.935;49.989;30.769366;32.9126419;34.1241764;34.684115;34.5056856;33.7330845;32.6192847;31.2116585;29.4520949;27.4473177
FSM;Micronesia;SSP3_FSM;0.111;0.12;0.136;0.148;0.158;0.169;0.179;0.187;0.196;0.207;0.000420394745;0.000508165009;0.000630489592;0.000737912145;0.000834929081;0.000935336123;0.00102777443;0.0011054591;0.00118575111;0.00127544103
GAB;Gabon;SSP3_GAB;1.505;1.784;2.054;2.287;2.502;2.684;2.842;2.977;3.098;3.21;0.706509375;0.864050384;1.00921187;1.1324299;1.2445006;1.33874795;1.42003785;1.48916538;1.55082508;1.60764427
GBR;United Kingdom;SSP3_GBR;62.036;64.894;65.803;65.501;64.376;62.312;59.583;56.475;52.999;49.229;40.499712;43.5465223;45.3799211;46.3787208;46.7199377;46.2431294;45.0936483;43.4627421;41.3580917;38.8515912
GEO;Georgia;SSP3_GEO;4.352;4.236;4.119;3.986;3.867;3.757;3.686;3.674;3.712;3.792;1.726872;1.73928574;1.74324046;1.73292001;1.72191093;1.70907784;1.70916666;1.73314779;1.77835564;1.8422131
GHA;Ghana;SSP3_GHA;24.392;30.757;38.128;46.134;54.504;62.707;70.628;78.159;85.095;91.449;11.603497;15.3224329;19.7292283;24.6330048;29.8723418;35.1280074;40.3003058;45.2981871;49.975537;54.3174168
GIN;Guinea;SSP3_GIN;9.982;12.259;14.875;17.38;19.652;21.586;23.264;24.703;25.913;26.963;3.0092485;3.86468776;4.89977707;5.97651181;7.04830831;8.06731374;9.05083976;9.99461175;10.891542;11.7604296
GLP;Guadeloupe;SSP3_GLP;0.461;0.49;0.523;0.553;0.579;0.609;0.646;0.691;0.744;0.803;0.0674107031;0.0726262213;0.077600529;0.0820912446;0.085974959;0.0904450039;0.0959515394;0.102644711;0.110525344;0.119296088
GMB;Gambia;SSP3_GMB;1.728;2.239;2.797;3.357;3.89;4.38;4.83;5.247;5.632;5.994;0.830155125;1.13021602;1.46644507;1.81271699;2.14992355;2.46604212;2.76034449;3.03529029;3.29062326;3.5309512
GNB;Guinea-Bissau;SSP3_GNB;1.515;1.848;2.19;2.51;2.794;3.025;3.202;3.336;3.428;3.488;0.450549;0.580060916;0.724616423;0.874308924;1.02319532;1.1630208;1.29067679;1.40771523;1.51218378;1.60603482
GNQ;Equatorial Guinea;SSP3_GNQ;0.7;0.903;1.105;1.299;1.49;1.667;1.827;1.97;2.089;2.18;0.11393618;0.15742848;0.202416593;0.2466239;0.290351173;0.331089001;0.367982953;0.400896006;0.428366984;0.449556562
GRC;Greece;SSP3_GRC;11.359;11.284;10.899;10.422;9.778;8.949;8.046;7.196;6.421;5.68;5.5503715;5.75846327;5.71235588;5.55547239;5.26967884;4.85779279;4.38861413;3.93758559;3.52107365;3.11925186
GRD;Grenada;SSP3_GRD;0.104;0.111;0.12;0.129;0.137;0.145;0.151;0.157;0.165;0.173;0.00682501025;0.0078016402;0.00886712984;0.00988853537;0.0107894069;0.0116500041;0.0123136609;0.0129455967;0.0137182361;0.0144729373
GTM;Guatemala;SSP3_GTM;14.389;18.278;22.916;27.768;32.856;37.949;42.983;47.888;52.615;57.116;3.20696925;4.26145148;5.55634344;6.96691095;8.49355143;10.0710998;11.6737701;13.2741622;14.8507147;16.382895
GUF;French Guiana;SSP3_GUF;0.231;0.288;0.346;0.4;0.453;0.506;0.557;0.608;0.656;0.701;0.0519915781;0.0656968303;0.0801820071;0.0943927701;0.109100545;0.124602218;0.140412055;0.156951673;0.173293386;0.18918985
GUM;Guam;SSP3_GUM;0.18;0.203;0.226;0.246;0.263;0.28;0.296;0.31;0.324;0.339;0.0163045879;0.0190339223;0.0213919626;0.0233902912;0.025072152;0.0267374303;0.028297515;0.0296600224;0.0310180924;0.0324686171
GUY;Guyana;SSP3_GUY;0.754;0.804;0.88;0.928;0.963;0.995;1.017;1.038;1.065;1.099;0.108727961;0.128215213;0.152313204;0.171633992;0.187913909;0.202750773;0.214616597;0.225343359;0.236584621;0.248741627
HKG;Hong Kong;SSP3_HKG;7.053;7.541;7.857;8.006;8.077;8.172;8.226;8.262;8.309;8.29;4.1345785;4.4206517;4.60589583;4.69324195;4.73486326;4.79055374;4.82220938;4.84331314;4.87086527;4.85972717
HND;Honduras;SSP3_HND;7.601;9.245;11.067;12.843;14.595;16.253;17.793;19.24;20.635;22.001;1.87989725;2.36753543;2.92392618;3.48954075;4.06671933;4.63269165;5.17670785;5.70263572;6.22004753;6.73418978
HRV;Croatia;SSP3_HRV;4.403;4.336;4.243;4.132;4.042;3.983;3.935;3.917;3.933;3.962;1.37950963;1.41479915;1.43075602;1.43130929;1.43156452;1.43695034;1.4417337;1.45397096;1.47610877;1.50105356
HTI;Haiti;SSP3_HTI;9.993;11.366;12.849;14.183;15.35;16.281;16.975;17.513;17.977;18.394;3.17939375;3.89935252;4.65111833;5.33793941;5.94601923;6.44449024;6.83066019;7.13690033;7.39824373;7.62816829
HUN;Hungary;SSP3_HUN;9.984;9.578;9.009;8.335;7.611;6.831;6.011;5.259;4.6;4.008;4.5426905;4.44243941;4.22602242;3.93653331;3.60949624;3.24789044;2.86250886;2.50685739;2.19407801;1.91243278
IDN;Indonesia;SSP3_IDN;239.871;264.214;285.082;299.273;306.913;308.46;305.783;301.292;296.382;291.627;74.20312;83.8820304;92.9587829;100.304074;105.80852;109.459981;111.761307;113.485486;115.106258;116.824825
IND;India;SSP3_IND;1224.614;1412.09;1603.709;1787.902;1970.55;2131.454;2268.342;2392.625;2504.988;2608.619;263.122944;320.227625;383.362365;449.935425;521.351545;592.032059;660.553876;729.413501;798.300691;867.74618
IRL;Ireland;SSP3_IRL;4.47;4.925;5.154;5.285;5.312;5.194;4.966;4.702;4.406;4.051;1.698315;1.94036498;2.08202271;2.17283768;2.21156862;2.1822257;2.10038394;1.99850159;1.8794755;1.73271396
IRN;Iran;SSP3_IRN;73.974;83.578;91.361;97.503;102.576;105.072;105.756;106.544;108.868;112.604;27.300726;31.3316893;34.687806;37.4078458;39.694438;40.9529999;41.4678344;41.9874451;43.0861546;44.7256695
IRQ;Iraq;SSP3_IRQ;31.672;42.354;55.608;70.305;86.198;102.891;120.148;137.947;155.979;174.243;12.789998;17.6182863;23.5687308;30.1621211;37.2787661;44.738613;52.4328616;60.3502323;68.3542027;76.4462366
ISL;Iceland;SSP3_ISL;0.32;0.359;0.382;0.396;0.403;0.4;0.389;0.372;0.35;0.324;0.0403778438;0.0469320898;0.0503583751;0.0524034852;0.0534435782;0.053116514;0.051701523;0.0494717195;0.0465658285;0.0431202195
ISR;Israel;SSP3_ISR;7.418;8.935;10.105;11.14;12.006;12.63;13.091;13.402;13.551;13.562;4.2675425;5.15884521;5.85462666;6.47577397;7.00144501;7.38788297;7.68000938;7.88453781;7.99366892;8.02079862
ITA;Italy;SSP3_ITA;60.551;60.556;58.536;55.866;52.213;47.578;42.83;38.651;34.848;31.112;31.561606;32.2124883;31.5347483;30.3404384;28.5046202;26.0627547;23.5140997;21.2510261;19.1786672;17.1337017
JAM;Jamaica;SSP3_JAM;2.741;2.926;3.174;3.376;3.563;3.727;3.888;4.061;4.24;4.448;1.1979625;1.32494779;1.48429974;1.62574697;1.76227039;1.88892648;2.01496198;2.14806473;2.2852207;2.43900516
JOR;Jordan;SSP3_JOR;6.187;7.995;9.934;11.882;13.878;15.84;17.561;19.095;20.459;21.579;3.12086875;4.1302384;5.26733948;6.47494189;7.7732889;9.1084983;10.3421231;11.4796893;12.5101131;13.3725269
JPN;Japan;SSP3_JPN;126.536;123.211;115.474;105.844;95.502;84.811;73.79;63.563;54.516;46.331;85.024488;84.68436;80.3975761;74.2514701;67.2978668;59.9253453;52.2227554;45.029624;38.6435225;32.853718
KAZ;Kazakhstan;SSP3_KAZ;16.026;17.74;19.132;20.397;21.597;22.526;23.332;24.05;24.616;25.065;4.5325035;5.27710191;5.9128663;6.49185365;7.0334132;7.47033006;7.85075181;8.18756082;8.46045225;8.68214055
KEN;Kenya;SSP3_KEN;40.513;52.534;66.205;80.85;95.946;110.276;124.052;137.407;149.744;160.98;3.59234625;5.12745259;7.05835472;9.34567006;11.9395067;14.6754339;17.5447432;20.5349493;23.5226833;26.4532023
KGZ;Kyrgyzstan;SSP3_KGZ;5.334;5.996;6.657;7.242;7.74;8.133;8.466;8.751;9.012;9.258;1.73251088;2.03530022;2.36080841;2.68224303;2.9927196;3.28138724;3.56234857;3.83801014;4.11684481;4.40181673
KHM;Cambodia;SSP3_KHM;14.138;15.941;17.843;19.352;20.785;22.003;22.92;23.864;24.931;26.117;1.30175037;1.61221572;1.96651281;2.30650392;2.65984348;3.0027055;3.31455401;3.63596011;3.98095632;4.34972028
KOR;South Korea;SSP3_KOR;48.184;48.908;48.007;45.42;41.158;36.029;30.92;26.201;21.986;18.453;26.36791;27.6219601;27.8712282;27.0005903;24.9613818;22.2174795;19.3298967;16.5631526;14.0237715;11.8550899
KWT;Kuwait;SSP3_KWT;2.737;3.503;4.154;4.804;5.376;5.887;6.364;6.824;7.244;7.552;2.16823325;2.813414;3.33990671;3.86441633;4.32575456;4.73773239;5.122278;5.49296395;5.83145034;6.07969567
LAO;Laos;SSP3_LAO;6.201;7.226;8.335;9.245;10.111;10.858;11.436;12.032;12.69;13.351;0.230676641;0.284019262;0.344791771;0.400997114;0.458236331;0.512491122;0.560451003;0.610525637;0.664967848;0.720752856
LBN;Lebanon;SSP3_LBN;4.228;4.59;4.95;5.198;5.373;5.499;5.57;5.653;5.783;5.949;2.208249;2.44826337;2.67883719;2.84289195;2.96214837;3.05054155;3.10533389;3.16439955;3.24800626;3.35064182
LBR;Liberia;SSP3_LBR;3.994;5.691;7.477;9.341;11.27;13.144;14.874;16.389;17.561;18.376;1.71948937;2.53805907;3.44700237;4.44258237;5.51922673;6.61638875;7.68329438;8.67394574;9.50911156;10.166675
LBY;Libya;SSP3_LBY;6.355;7.549;8.616;9.677;10.726;11.561;12.271;13.018;13.753;14.449;2.5932375;3.15774473;3.7032432;4.27988388;4.88223624;5.40900815;5.88603652;6.37952778;6.85867767;7.3051694
LCA;Saint Lucia;SSP3_LCA;0.174;0.193;0.211;0.226;0.237;0.246;0.252;0.258;0.265;0.274;0.00691977734;0.00852893767;0.0101822282;0.0117333195;0.013072151;0.0142657578;0.0152325816;0.016140823;0.017058848;0.0180625226
LKA;Sri Lanka;SSP3_LKA;20.86;22.634;24.257;25.697;26.89;27.935;29.015;30.224;31.639;33.258;3.96258275;5.17799361;6.31233152;7.28768659;8.06537416;8.6850725;9.22842263;9.75215538;10.3011096;10.8895864
LSO;Lesotho;SSP3_LSO;2.171;2.376;2.558;2.695;2.811;2.901;2.964;3.04;3.124;3.218;0.280012906;0.333081864;0.38790189;0.440005211;0.491836718;0.541543439;0.587759241;0.637716628;0.690528895;0.746723002
LTU;Lithuania;SSP3_LTU;3.324;3.225;3.151;3.039;2.964;2.911;2.86;2.861;2.926;3.009;0.81120525;0.804164181;0.795493118;0.772842513;0.757073844;0.745509091;0.733625408;0.734601146;0.751738528;0.773347654
LUX;Luxembourg;SSP3_LUX;0.507;0.57;0.603;0.625;0.632;0.624;0.603;0.571;0.531;0.484;0.211234547;0.245433469;0.266712038;0.28249837;0.290648213;0.290924412;0.284177274;0.27137261;0.254021796;0.232716621
LVA;Latvia;SSP3_LVA;2.252;2.133;2.037;1.944;1.867;1.804;1.748;1.716;1.717;1.73;0.548785312;0.529511332;0.510773998;0.490161644;0.472211402;0.457082074;0.443333582;0.435464634;0.435860508;0.439241488
MAC;Macao;SSP3_MAC;0.544;0.608;0.649;0.676;0.691;0.703;0.712;0.721;0.731;0.738;0.348087875;0.38903939;0.415273954;0.432550374;0.442148385;0.449826794;0.455585601;0.461344408;0.467743082;0.472222154
MAR;Morocco;SSP3_MAR;31.951;35.644;39.546;42.51;45.108;47.469;49.336;51.261;53.834;56.81;12.747107;14.9060999;17.1658482;19.0121435;20.6684808;22.1857063;23.4388442;24.6876855;26.2252065;27.94349
MDA;Moldova;SSP3_MDA;3.573;3.289;3.089;2.877;2.692;2.525;2.383;2.288;2.246;2.245;1.355428;1.30323332;1.27168181;1.22485349;1.18050199;1.1365658;1.09775589;1.07584457;1.07556798;1.09275692
MDG;Madagascar;SSP3_MDG;20.714;27.383;35.415;43.814;52.62;61.427;69.938;78.073;85.525;92.267;0.975687688;1.36791713;1.87331448;2.45000467;3.10539196;3.81931744;4.57340179;5.35995989;6.15339204;6.94438545
MDV;Maldives;SSP3_MDV;0.316;0.366;0.416;0.457;0.496;0.527;0.547;0.562;0.576;0.599;0;0;0;0;0;0;0;0;0;0
MEX;Mexico;SSP3_MEX;113.423;128.799;145.518;160.857;175.157;188.087;200.418;212.751;224.984;237.649;52.769756;61.0921789;70.6090468;80.0875982;89.664765;99.0553288;108.457138;117.967319;127.319155;136.664159
MKD;Macedonia;SSP3_MKD;2.06;2.128;2.181;2.215;2.253;2.292;2.312;2.331;2.354;2.369;0.830367188;0.898097082;0.954066725;0.996833291;1.03725395;1.07481979;1.1006652;1.12358759;1.1464484;1.16376774
MLI;Mali;SSP3_MLI;15.37;20.93;27.643;34.847;41.967;48.506;54.341;59.433;63.637;66.955;3.35909225;4.77603588;6.57425509;8.62186771;10.783557;12.922023;14.9842129;16.936378;18.7119099;20.2849845
MLT;Malta;SSP3_MLT;0.417;0.432;0.439;0.437;0.436;0.438;0.439;0.44;0.447;0.459;0.306530719;0.325483517;0.334493581;0.335059936;0.335586465;0.337982909;0.33934087;0.340527258;0.346246705;0.355766456
MMR;Myanmar;SSP3_MMR;47.963;50.922;53.535;54.501;54.438;54.099;53.73;53.789;54.745;56.383;6.0330145;6.72064644;7.40253275;7.88410186;8.22624501;8.52712095;8.82086974;9.18365737;9.70666652;10.3668037
MNE;Montenegro;SSP3_MNE;0.631;0.654;0.674;0.687;0.699;0.713;0.723;0.732;0.741;0.748;0.166646219;0.180347865;0.191224191;0.1986972;0.204874279;0.210932406;0.21530442;0.219013158;0.222457424;0.22510856
