Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
ABW;Aruba;SSP4_ABW;0.107;0.124;0.135;0.142;0.147;0.148;0.147;0.14;0.131;0.118;0.0405554727;0.0535966752;0.0644852364;0.0732326307;0.0804649758;0.0849102655;0.0875733572;0.0859968113;0.0825256269;0.0759200139
AFG;Afghanistan;SSP4_AFG;31.412;41.6;55.153;70.545;87.831;105.685;123.324;140.76;157.181;171.515;0.800410437;1.46947581;2.52901863;3.9544729;5.72795825;7.71951164;9.80992411;11.9480334;14.0275437;15.9197883
AGO;Angola;SSP4_AGO;19.082;25.588;33.626;41.752;50.051;57.841;64.645;70.586;75.517;79.222;7.8957655;12.0162675;17.5187657;23.6174287;30.1543853;36.5232907;42.2365352;47.2544087;51.4282427;54.5968853
ALB;Albania;SSP4_ALB;3.204;3.248;3.225;3.141;3.004;2.824;2.593;2.314;2.019;1.743;1.19328087;1.42938944;1.60846464;1.71892929;1.76070332;1.74141127;1.66037576;1.52392536;1.35787975;1.19087591
ARE;United Arab Emirates;SSP4_ARE;7.512;10.985;13.14;14.893;16.119;16.738;16.599;15.791;14.634;13.229;1.83491325;2.76340517;3.38796674;3.91967839;4.31556673;4.54540491;4.56110732;4.3816707;4.09358749;3.72540105
ARG;Argentina;SSP4_ARG;40.412;43.233;45.018;45.891;45.734;44.649;42.8;40.352;37.593;34.708;24.049284;26.1989499;27.667457;28.5125803;28.6545218;28.1561832;27.1241599;25.6704843;23.9850434;22.1937644
ARM;Armenia;SSP4_ARM;3.092;3.012;2.847;2.647;2.401;2.141;1.896;1.655;1.439;1.263;1.19750775;1.3129964;1.34000993;1.31274356;1.2359549;1.13293691;1.02462657;0.90924477;0.80106396;0.710662612
AUS;Australia;SSP4_AUS;22.268;25.807;28.963;31.706;34.087;35.983;37.062;37.22;36.405;34.59;15.595779;18.4080454;20.982006;23.2721787;25.2981951;26.9553517;27.9818276;28.2865882;27.8202835;26.5558942
AUT;Austria;SSP4_AUT;8.394;8.645;8.784;8.811;8.73;8.501;8.118;7.633;7.054;6.387;3.5050205;3.78985792;4.01715725;4.18053117;4.27689738;4.2825711;4.19038654;4.02477508;3.78937138;3.48751849
AZE;Azerbaijan;SSP4_AZE;9.188;10.017;10.329;10.376;10.103;9.585;8.904;8.075;7.246;6.457;3.22407425;4.09902817;4.750781;5.21346794;5.42759733;5.41809449;5.23301442;4.89022749;4.49134643;4.07541859
BDI;Burundi;SSP4_BDI;8.382;11.015;13.505;15.808;18.099;20.078;21.618;22.878;23.673;23.982;1.10766388;2.2533558;4.07539293;6.63619885;9.92251353;13.5345753;17.0151928;20.1797559;22.6887679;24.4146353
